puuid,leaguePoints
rildMEDqFmcO4oIEq7cwL68NoIE1Hc2j8mGlvo-mB_Fr9JjrPmedUcFeW98dI04HQyjD7L7shCV_Sw,808
NPUjPYfJd35tjbgDBe7hnkU2J5yK74LEMYYH4XiJZTSG-M9nkEoSbkK4tMSPphbiYKvvav4Oic0XUg,808
O39962dylRRIFt8uZohu_2Yt6cJaNxMCZ340R7t_7XBTV4ET7C4mwTS6j691VobS92UPLeVXjFlBwQ,807
LUw2YLQJY10Osl7JR11b6xuEOhOC9WMzwsAMuWooXsxDNmYXPp-SDGMHAIxbt_dlDxojqc8ceWY5-w,807
pcdeNt2BEzOTc2thB_ndCsZ65OIqC6csp0mDRdtPlhwl9kjIygqYfeM2dJAyqMxRbdz3GeytH15ozg,807
xvSdeS4cv_sqhqWV5wc4S-btHqlk-lwZv35kHFANrPpkJSzl-xUDOqJgaSSwjfzClx_znAqGTR8ijw,806
Z7A6TfnPgFPw4_F_tnaLI6geADb0GkHZvWYaEKl_TpiO0-TCZ7adsSDfCoJE4q1-NJc2qEZEdpcTqw,806
YhP47RuTayspsQresLeqFvx5ya8ErMmWUMWvHdhf6IqBzIUhIP42zj_o8dxs7_D72QhOBnT8bWiTHw,806
RHwlymtdh1SQLRSr4kxsqCMEkLc2T8pnC8KIaZGwTjv0EeGqevLc10QG6v4ovu1mSMTwcBCXFZaIEg,805
_zOSUvSKTPjCc2CF4U_6XkFhKejqyY76hdOOsS5RruX53eBbW4Lh6S2PyFHiU2WQkpi-0yeFhzOpzg,804
QfcgU0INM08GrLDn5G9WbxulIpx2ZduAn41Uho2M92PtQmT7QfBqtibzRPM3oQXr6jgH17eNLcr0DA,804
_qHBPD357BhSVH21atyCKLlXszDGogYPGtTfyn4m1K23yPVwDGIvyalLY-t0D9yfgPTEnnqeJHIakw,803
it3KvZMgnlCDseK3EKxW9W-i7b7y4zENAm6ZubfU49uCoc35ca3YSaSdLMNuz81e8G_o240JKajWfw,803
96q-0eqrJD86hBNc_rQipFTJMXS1iP9BFaTf-LHs4GwOnRUIpz85ZRP-tqUQ2_suFauzJUqax93CLg,802
HoEK4ZPfW2EO1SFbMh6w2TM0F02mjfOPPMXvDnjZ0iq3WNRUXZLvIMF8ooYToJTymwGJrduMil6PlQ,800
w9yFKwXWYGUa5PeORfbmFIBPcyobOduEfcQuZOeRRyjEi119FV2k2zNhH4QREUBicvf1KYrZcM7zOg,800
Gj7QqRFkn-yGRRmwiVezpEmOA7KdtW8FOnkx3cf7_HMfdu1BPohVOCalwFi0V4isla1oBHzWCa4VAg,799
wvkYPIKJJw2iR4MRVVS5erYgmib2Gk28XcCrFffINedxlEnW7DIdO_-QkY4FDXsCoVTRCDdW0DRfuA,799
C7fIaNNCPPdxsisTvT2KtXjcd6z5eedEJvjqM6X0RZI-AiZO0SCDDScYmaG95riZXzefM73kJKw0fA,798
OLzuAbCaHN-Pj_vS0WDHXAIHBVERFHBSSzzCHhtNlq1WeU4oVbIe4mXljTeDM4Pa4K_C69v-fJREyQ,798
2b66shg34E5Rl21Rd5QUAwqO_G15B_wNOHsBUMNK5Q4vyqoZ4f8pyg8_ZeHwjaNd6rbsruqktBskLw,796
zEik8tHYyMFYFv1jz8Ua33UA01f0FDtYOXITPXXN3T74vIW8DHtd3HxguhsL-KjYoK3rFytbCl9y8w,796
1VgIszyoJesZr6R_ufwc7DOMJVVNp6C5U2KspXWcQhkRfaQg5cwr3ZyFLd_rNEIaKXZTVkPPWzSP3w,796
ocLfqVpmWEWys8PlZsEre7iD9n0QGSa-0s5L3kTkF6zSs6SwxtCxQ__ut_SkAKPEPdkmm3UDyYwP0Q,794
7UQTJCgkc_4Tr1TdhFV0--9U-ayWadX1r02UtqOOhw0khEiZflFv1W-ROJqKJrbXFAiabVnpdge51w,794
bnnWmW7xPh_-3XrgSYQuDNY-cQ0-QXw4xu85Y_hxfqKd4YY9WkO50RiZxrW0tmAVcGQBBN9w9HVGFQ,794
kS_ztkVRj71vzsx91I2QH03qyibu951LNHphAG_PyIKRf6chI6IU2374EStiyip3gIP8sdQhwGDTFQ,793
pZE9UeyQz2imgfBFJmknpf40HtWqfhU9IqSIBFcFYiiMJ5TMgtq8-ZHUOtR5PayCgfNK-3AJCnXk8Q,792
BXSIarYqB9x6wNpMPfgFrDmCpMsagfyjFQdwWctS5v4WjDbszs_iDt-REhjV8wtqKdaK7AjoPyPUow,792
Jh4fKLSxYot9Xl9uxtXzgyH8Iq6lAqZnOdS17du3VBJMBZv5k-6OisW0FJvcf6IjNX5IRN7O-4LtFg,790
qsoTagQWIBzVORQKQGTIs3uPCWTq8JO-hElJdxgVG-h3oEYzCKaEQC72ZfTccb3fjTDaiV2nyb33vA,790
