puuid,leaguePoints
24n7HR1YAFvVmmz-B0qigKDFvkDh4BAohHCozMvV4ysF7y7b_QFHbq3VxaKOmJWOOgFuVQSq0bqsfQ,1092
N89AaOUXuX42a0K4MA0DYzpnq1twzWfO1IY1qB7dfnxXjckrHyxKS49j6XwZS181fUEN2B05MdS61Q,1092
uhiQBBPlNo5WFWhxvogxtOUIxepbXTxOD3Mnc2uMhmD8f9kvImu60OYdSzol5zswxpDCSRD6Qw0nzg,1090
wkwN8d2_dvXTyNaeAZEm9bPqajBXYH4piXTbYEnxXXR_Og4KO6mnvPCmHdrzjceEnlYK83cfd2o7Fw,1089
FxD_9LLrt-4oz5vF6pRHcTiDjvf9CfstH0v7CqlL0S-9Y4WB4Q8gTuqndUXR_Jv2G_ofIqOFMuSGqA,1089
RvEjtz00n79inw47GWrnm8OMW8c54kqWnCEjVkGkYHSLv5XPCIyjVt2ykAQf81-qrZ0uLIJ57Jsb6A,1087
pmMlNPzti5W__uMjTgZyLF92h630FyX-s01-36vLVREhYK5wjP_dq_aSSBOk8yxJSiUJEHSuekNlDg,1087
tgov7c4HD2-wSANWbfZxvamwaQWvN5uaquiclUovkMsPpwDRBiJkqrwzpX1SM0JQnApiByEX-nFGkw,1086
JXslg-TYekYCi-Jc6vjaBDdMEtbj-sBghFgQVLJ_4W4P6WWKFjDuzDO5DvMqKWsHC4QhM82RSMIfJw,1084
Qw7ZC0brhZnCCagWtB7hqr-HihkjaNM1vuJWYSi5eBtMXuGmPpX-1LWVuvMcufmApm7ukfd7dOxEPQ,1083
RmBqqauOw0S4wsQhoZQoHtSQ3hrNojqkW3J5ZcRHFeAv-qZ9p1rQYqWw1jPorvz9RqVTqjEW6HqtyQ,1081
XqLCWS4Hc-5S6SjgLpO07XwvHE5FhPWufuhYNq7JYhMCjAOi5oVnSDTOogrtv27WMIinb05i2hvScQ,1076
wmPSJkQHSsFfQHGzh2wPiQ9mh_RKTybBxWlybx-p39eg2DYFgapEMLo4Cz98g8-uN1CG73b9NMeCGw,1075
tMgD7J3rBtgAqWIWWRZwYGuARi8YUxyaZwkkrmuw4bEwh10fdIyLNn_rzgPBcLkfxSA_p3ce-Ycm6w,1074
UcTXRZNlwPueHVb72wEPjstG8gcHXRPMk5uG_A9mS9_JEVkVChIe5o5six0rn_ZeRswtd48iRf7y4A,1073
ABCgzrqAtDLiSpkzNrEvbPaVk6eqT03AjNFBuRoOySsc6KIFNJEf418RPA9m1YSyoILS3kGOeu2qDQ,1072
5sdLFNo-PGilrReZhDjjpkZ0ox06k6Tx3OmICNqqE6Iu0-qyROi54ELe4HLnzKJTS3HxO0aBkTAcsg,1072
rKphYBhB3wxBF8uk23Tu6aQIbNT_ypZtTNHSu1LFoKBOXHhQvyIirWEzocBw1ZrvaCuhK-uftVydDg,1071
Wde6yIcR6htmMEluA2tJMo_C5uIu2FP406dkENCbLLba4OEgjviGr-b3qtxQVFnF-b3IDxaj-vSDbQ,1071
sq33Ne91ccXJ52087zKAO_sxCKYvopvMts_owR7DsGinOdxIEMy7qiFLiKWToQViu4ghg_DJNf-9tg,1070
SjbxxNczwFGehOcCKaG1yJKpV2LkcL9Mu43Wc5sBsZoHzYm-Kz9MjvhL6k7HVkgNV0jQI0SlvzM5jQ,1070
