puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,riotName
cNF848LI-UGSF59w4E0HJ7nW4Ia6ykMl_3KhgIQn347NO4Q2CyzpxvzrHtpW91d6DkcFk_LFYzQ58A,1775,I,288,138,True,False,False,True,Challenger,ROC Panda#Panda
AJRNXyyBy8CYt0dl3Nze-EFqTYMTbYtNFQziAV3TuAYLVruiS9KuBDtQ2g43zPsD9TgMlm1CSJs84Q,1765,I,293,190,True,False,False,True,Challenger,Kanata#TFT
lmjxNkxwMaBU6d6LG9jGj2VfIIHrxaf8LubwGrhXtSJ_nPCyH2osjP5qANOdrmBlnBrjYaVN9fe4bA,1733,I,512,244,True,False,False,True,Challenger,띵 땡#KR1
9GgkL-cqGiAx2I16R7gbEHypMqhggeSrZsXz1SRz7ggYC-_qdJ8VpPjOUvLqDWib9_WweaJLAkcgSw,1695,I,339,235,True,False,False,True,Challenger,엘무무#KR1
ihErXRxZkIbmoavetRr39aDrJSFH0-1N-_Km7n-SRxRiS0B04dMotRnP0gImeaKuz2hYccyg-__3Dg,1680,I,444,311,True,False,False,False,Challenger,만어리#만어리
hXDmGEH59mUnfrg-lBRC5kDINDWpV3Tmak0DjKvBFJoA9J0kaAinvdMz7aQtSFyGkLJI7NEep_6w9g,1582,I,671,484,False,False,True,True,Challenger,MessiOfTFT#KR1
7lWrVhOcwj9Pvr6jfpPqADmiGWcjB7UlmE24IVN88zrELGX5v-vW2Kj_-JAa-VjzUoAS8fPH5RvlTg,1577,I,348,246,True,False,False,False,Challenger,zxc12345#123
EI8gUGAXcbn273kKDni6QrIs2VibI2oRnj85rOn5fxN4JwrfvnEwJ4iRgTkICobi3xVD7RLS7B__GQ,1576,I,120,52,False,False,False,True,Challenger,T1 만디#123
QMdG5lDNycdc6-AIN88kqNUAoaLToskZaxRndwLFGTF9rwRrfx92S7ZD8bpS8LY99FwFBqBMgTX0jQ,1570,I,263,167,True,False,False,False,Challenger,피부미인드록바#KR1
Z7hlitmRN3shSpY7UlXmR1jF9FKYDstw1zhJ4XWtZJBKFiuSZ0Bvttmobq5bOVmDb3PokAahjl0xKQ,1554,I,333,212,True,False,False,True,Challenger,지보배#KR1
RNW_-lQnloWk5YSLOK5d5ZhYRF9flYepwsQVSjj-tNFvn2Lb1tKDBY-ZPw2brZVuwsOAT44vmZre_Q,1218,I,436,393,False,False,True,True,Grandmaster,들어오이소#5159
2T7bmx0pcfwHXrXQtV-v52kgWp-lx7n8icioDGrk8GTRysh20OEgVYLvhUjePo-0R3DaDCy2gqdtlg,1185,I,333,243,False,False,True,True,Grandmaster,Soos#7777
hZ2FfYcx-w5IAPrTtK4zf0RWaYA7QkARmh2DB12c5nEVkkzKvnolAfdQKQMDFuHgNjXVdo4p-O2pCA,1150,I,300,250,False,False,False,False,Grandmaster,벌 달게 받자#KR1
8NX98uVOmKE-S6SX_18CTy_qIy3Fb8DDy0kpWL2JyHovzp7RZrTHQNaDu5dz6oDpFgv0n8idE8hSSw,1149,I,467,428,False,False,True,True,Grandmaster,궁디궁딩#KR1
z40XDRZEve5vWiICsAiwZp6GNUAv1epoISaxDbpeYzlTcRIM95eRybwjEQAwX3OKD4jALNXJ7wMz1A,1148,I,207,138,False,False,False,False,Grandmaster,차 우#먹 보
kih2i6lObGLPfEsE2B3DseLbhNCl4fWfJYD25gkw0EZbX2TgMQedz7WKXswJI1qq6bDVJl8Ke4L9Fg,1146,I,546,489,False,False,True,True,Grandmaster,인째성#KR1
EVaRBA4vR2FSeJ8YU2UkvL2rK4p2iPlrHxv09fmUHsk8ImRhD9NZ_9zLA2wF2-Z_I9ydnNWopJVWRA,1137,I,319,251,False,False,False,False,Grandmaster,너나너#3354
AtTtSETmkH__kC0-wSv0nAmBwfhBPR8Z-ckYckbagjuOoGKSSUhrjhYvFYrobpcXNynD65evRMxyKA,1133,I,279,238,False,False,True,False,Grandmaster,PERSON ZERO#KR1
Aco074Ji1we77fOneFLpcc1NJWm75cwfuL3mGBOEuuBWETZmSuTu3TKczcksZFqrs2P-7BbkbGiLEw,1131,I,375,309,False,False,True,True,Grandmaster,Seize The Day#King
