puuid,leagueId,queueType,tier,rank,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,division,summonerName,riotName
,0d3fa417-24e0-42ef-a8aa-c7fb8aceba1c,RANKED_TFT,IRON,I,18,4,4,False,False,False,False,I,,
,08094433-c9b5-44b1-b765-be99d7e1e5a0,RANKED_TFT,IRON,I,15,3,9,False,False,False,False,I,,
,783c1bd1-d769-4b99-b57b-c5d3861affe8,RANKED_TFT,IRON,I,80,2,3,False,False,False,False,I,,
,41f73395-c186-40b2-856e-bc59e8c3aa86,RANKED_TFT,BRONZE,I,70,3,7,False,False,False,False,I,,
,60cb36d0-ca83-4d2d-bcc1-ddee61299428,RANKED_TFT,BRONZE,I,63,3,3,False,False,False,False,I,,
,5d32877d-974e-462c-87f7-296a7a150add,RANKED_TFT,BRONZE,I,37,4,4,False,False,False,False,I,,
,214c9b36-e66f-4227-b412-4291d480dfdf,RANKED_TFT,SILVER,I,55,21,17,False,False,False,True,I,,
,71312fd8-4d71-4e2a-be73-338d12d9a1e8,RANKED_TFT,SILVER,I,48,25,28,False,False,False,True,I,,
,5fccc2ad-c257-4faf-8a71-42fde25040f0,RANKED_TFT,SILVER,I,69,9,1,False,False,False,True,I,,
,174e2e40-53f1-4c03-9f45-1f060df70909,RANKED_TFT,GOLD,I,18,161,142,False,False,False,False,I,,
,3e4ef8d5-669c-41e8-aa96-aa95e4d0d570,RANKED_TFT,GOLD,I,7,66,68,False,False,False,False,I,,
,fa4fb85e-50a3-4b4a-b37d-38b6ed1fd840,RANKED_TFT,GOLD,I,0,152,143,False,False,False,False,I,,
,5c09a188-c38d-4ba2-b3b2-bf9363ac7997,RANKED_TFT,PLATINUM,I,25,55,42,False,False,False,False,I,,
,ac5680ae-26dc-4622-8393-41579460bf49,RANKED_TFT,PLATINUM,I,18,38,25,False,False,False,True,I,,
,d11c0029-442f-47a7-a485-d2889204f634,RANKED_TFT,PLATINUM,I,10,34,28,False,False,False,False,I,,
,f7eb19ea-169c-47d8-8d38-8f2116511ce9,RANKED_TFT,EMERALD,I,0,60,46,False,False,False,False,I,,
,245a4102-49cc-4b05-834d-e9ff6c4cec7f,RANKED_TFT,EMERALD,I,10,80,71,False,False,False,False,I,,
,b6321f51-28f8-47f2-96d0-7b6271b3f0e9,RANKED_TFT,EMERALD,I,39,103,99,False,False,False,False,I,,
,5b089541-1b5b-4614-b3a0-072a05e1addc,RANKED_TFT,DIAMOND,I,0,109,93,False,False,False,False,I,,
,39d12568-9109-4f0d-a5f1-8e14e46525c6,RANKED_TFT,DIAMOND,I,10,145,102,False,False,False,False,I,,
,020af8d6-70e8-4adb-ba2f-b7a91e716454,RANKED_TFT,DIAMOND,I,2,133,93,False,False,True,False,I,,
,,,MASTER,I,951,445,400,False,False,True,True,I,,
,,,MASTER,I,923,488,431,False,False,True,False,I,,
,,,MASTER,I,922,640,597,False,False,True,True,I,,
,,,GRANDMASTER,I,1202,475,403,False,False,True,True,I,,
,,,GRANDMASTER,I,1192,323,239,False,False,True,False,I,,
,,,GRANDMASTER,I,1185,502,352,False,False,True,False,I,,
,,,CHALLENGER,I,1775,288,138,True,False,False,True,I,,
,,,CHALLENGER,I,1765,293,190,True,False,False,True,I,,
,,,CHALLENGER,I,1722,446,311,True,False,False,True,I,,
