,puuid,leaguePoints
173,bUlGVH1NPiRCgqnQXjvPmTXdshCLONPvZSJ_WPAp4HG_7HpII1Qu0ah0wCBZSrMeyLfXxYuDES1OPg,1190
174,qC1iG_dLfT6byb5-DJtNs2ECP4StHQNaMZOa8QdYMsVAqO7yzcnVMm4aQUwEw5NURgoAG3Z5a7rimQ,1189
175,5NNLPLuTpNZogfWi06G8pN9PoCxN9uGwSJo4QCH8m9KAhUkeiixo2u6TfjLw-xsSuPTHz1Udtu0Ksg,1188
176,DERfEgLZYkfgYDYn0Xp6AaVMHAxY2_HQ1JJuVW8qum6AoXFmk0eJx69C0D-LpdJQcfqvWDR6lJmvTQ,1188
177,NH4hFhSF4YSZSx0E_aAHzjPOx4kkI_AMYltHz60smx63Ze1i3kWGhtPyN9EtG8hqyQB_u4aIEmiIFA,1187
178,5s-eTzJio4JEPqLLVr3xHzCaZBCn8CL_AxtJBZcXebrpXnxE11FFclvHrF6LBVXQb85VIqKUXh7duA,1186
179,D-pnGtjlURdTWQAZsyNoMrplsvX11QNPG73EIMmGacJs6Q_zxF-r79biIM9-COkgc_x9ciE8mXTmsw,1186
180,2NXOWnTTWUhjSjyovfK12kf56vV-aT5mHPWQrEg3alzJXrW3j3VB2_Qgh7hx-o01WqdYYuUhiiFIWg,1186
181,ii7ScWRYmmL5_zpRb4ZWc3vCXx0OIvDGGuV_uZh8mjClpWgOX-oymZRUNiX2YE3Pyi0MpBG-5Ikp0A,1185
182,9-xjwM8Nu6qoYuG4f8Crl61Nzn-rE4SLVJ3T7yYyVALUiGUm_Nm99LIYip7MQV4Y1k-AQ99tWY9B6w,1184
183,2T7bmx0pcfwHXrXQtV-v52kgWp-lx7n8icioDGrk8GTRysh20OEgVYLvhUjePo-0R3DaDCy2gqdtlg,1183
184,6c7lnJMXaO9yc-7cbvvbStwB2TEb-A3xFj0bg4Cykegxw-yF8n4cMOwyKwKxJMXgTIEjmuKQU45FDQ,1183
185,62pgNsnRHkSQafMTHzIuifsGOVqBCoiERczXx4BHkeB68bzFdqys-zDwbQB4oT3kP2cAGNN0_uDdGw,1181
186,TAgYOwqTV4jEOTu5RNdgHLDZoA5wnmVYKUB2TifMm9y87DI0rwbdTXHdD8yCuFwte9jIq-gptkUJDA,1180
187,xrqKnrMV3SmOqRO6vGxaKBOaOjnHP32YXYyUQ4u47uQ5UQyOzfhr3bZgbNAx1AQJ6Hmq4XuWH1my5Q,1179
188,jTEUSmLcDyeu5Ce2sMu7-rGJqyDFSkOzNnjDROF40XhvVO1jOhSreiO3N28bR0xPekjqDN3V4S0UDA,1178
189,nS1Gg5TBCKNz0SyNvnyeotmJVe59cYBWqul_bHRvS00GEl9nnwY00wjOnywPDah-XCv1vN33kEzYgA,1178
190,2fynYayg20FGBo1xaGYePNPUy5MpahYGvymubf_g0hxF3HNFlduzFwDeqUsej1YMJB5m38puq5T3fw,1178
191,19x_jOLpVH8ODu1v1_cJiZ9waQvTJi7P3nyJ53CoYWUDoF5Q7jMGfNxh6sD7QgCX-j1_Qf3zX54yNw,1178
192,P5nhDr2SXkECCeX4ZhP6fQJmR-FX7sYvZfPNG0oyv0uXT80eMts2K_hsbmkSrpqmN5NipEGhDhb3JA,1175
193,Hg1UZgMxHTdLLJvey37-kS17Rldk0KvbfaXPWqUlHUS2hAt_eol7EChQpL8nNTjQhRzTCaVzXzB46w,1174
194,BD9dvWjGECFr_lsNyKa3fbPofGle9jaS5DYrLDhlgHbVLPRiPFpkN7DljVwfiy3dBZbS_GE6ox5EKw,1174
195,Q8v1t9z0hHi-VoCUHo6U_IErYVj1oWh5XP1QUgFW9lzsS3WH0FXdDJhk8Ks6qgJTOzlVRiExJNBqjA,1173
196,zDyAVLUE6o7jnoOEBg7nSmFMHpFEOCqO_J7EL8w7cBPei0MUoOy-ghDpec4Nvi3ltUBjQUU8p5gRTw,1171
197,o5xtZc6fYB0O0pxvmmNUUIRSYty_RmSbQCmJU63qw6oni_F-WzYFMXam4YyTJfBsCOBuniDQOvEXag,1170
198,VYf43dj-HDEhdfBaTrH-LqYzYLLGVaG0nQla0oIS5PLedaUKonJIfQKQIeaGEI-IHkJxTNjOjhrU-g,1169
199,VvF7a2iRTFuhI6o0gP21epS2ISh-fZt5sTXYspVyA23m_f33ib2wAfBU6H1m5zKHsQD_ZQ684gAuVA,1166
200,bacMStYaG3XcUi6TqTh8_P5s9KYuTnjXRYv-GXfNW_uIj3djjxE33jF7Qobt2C7O-S6Vz8Wh7IwdTw,1164
201,y4oCksORMVOAEcZLuVK7LO-UuGPtyWf88gLK1dO5Zc4oKGCgL1iIeeWAic4r5lDMyyTv-jsSro-PMQ,1163
202,ribLQ4rKmvAPEqaznb2FG4d0nKjwh0AujfEgATvP3tO_3qXXuOhxb1yikOFTdsU_0BOZ5aEgt1JRBw,1163
203,nitZ71ArCPaZL4V8MutCP-7FB6tG3NSmIKTdbOkr7XfmSvV0vAtnbng6wU6T4ZpeIi_5MfxAg2zZOg,1163
204,jUnzw31TFzD2xC5Ib1GkuKmHn66VLZQpjzJVU6cT21J-yAcN5MplPrjSNl-m-__td-9D6PX6TbLKWg,1161
205,zkY7C6l0EmFXO8JxeYJD7dHRZxZh00q85UkBWIcIe7z-BZ1h_Py0Kgh0t8Syvd8gTFaCoXE-SjhTRg,1160
206,MvSn8u7aecow-Su5fmYtjNrjOhXXqznp3GsgyhhJNaLGJJpYXu1NtmFkRujpPMd0PnO5vBvrKTw6yA,1160
207,zbFzd5oEvmajt2q6YF4R_uNnqc9COisfe1f32y0ysTsQ1cUj-D63llN1qEtz-OniDBSkCfdlJ5cIqw,1160
208,U9TkufFYEXS5YzmshgML1cb2XGfW9GJIkmupRWvvNTGklhiihkshdyYjQC642tKKk-lOxZMbl1LqfA,1158
209,zzkJBgzhuHsikHmET27G399XNeS9dKeHUjdlwY55WAha9u7e6NQrImdLcStAXd3qxasEhqjGMmcFqw,1158
210,jaKNgVoAk1XbazC7oAWu7yiXgl5OQ87gKNGveK-aFxWf0eJPKTgdGPMaApO6vFCnnD5RbKtqq88q2A,1157
211,5yUJTGhT_oTIpOKbb_itnlIy4jfxcYKU57PbXtOLvcOsV4MMXALMq_rQq0nsrouDP2uqXV66a1nBug,1157
212,kih2i6lObGLPfEsE2B3DseLbhNCl4fWfJYD25gkw0EZbX2TgMQedz7WKXswJI1qq6bDVJl8Ke4L9Fg,1156
213,1MDL78P8vDyUyjmiCY76ckr6_89nswMdju0FSqcHUwMzb_qCsbzbUDu8UqIOMfS9ZvgGT_GNf5PA6Q,1155
214,FCnYSpl8BRED3I1GUJ2cjkXE8NiA6FiU3o2oISMCnLnnVcknuzUF64mf8UQbsSs57vqhOShl7oD6wQ,1155
215,uasl5MENHm6ey6VtCc5DZnJVQJjZ7KDYREa35kUqUshMibYQh6vFVdet4Ub3Hg8hKDTpuZUapUfwuQ,1154
216,AylpNiY5faCbT3VXUsE2ba0sfQkR0YaL1sk26J5lYM_ImQiNmnJ2xF6fH58J0qa7JW3Lan2X19c6rA,1154
217,mcCTmM3y8-3AgD4NEespMxodIfTZV8iRUI3s1e-lJDgtxtmOohQoqpYfNFJnpr5N1uF_GQqOlq59SQ,1153
218,XcnO3pdQk4MRBY_2xWo3P8zMyXoAHI8wnf0qetDrtrFzg4TA63V--a_gXhelgbDHYKyremjE2UGlXQ,1153
219,ZK-HJFdoLM-YJUAET5DF8xWOWbGPBA9CbdZ3weFGCRlr-ggu1uReKlWgEww2LiGfPNZZvAOiR2xiAg,1152
220,kG7rPeGov7sgx-lyOt5QzMupPfMpQ82MZLuXt85Wsv9CalWf-6oTPv7Us8rxkZutJBC1LxrsU6Aiog,1152
221,MwGOjxRXU1ZHx3aaZEJWgmMP1XJyI7iyKtnJksz47QHMmFRqKe-XhDn2V6Ymq-HSfIGGMNepdf8Hhw,1152
222,VeKqCICngjvh3LH9VbP3YUJWqdfDj6BegxZZb6TWWMCfMEdPImQ8B7kjRN4Ao-LqkBNwwAo-dxYFsA,1151
223,hZ2FfYcx-w5IAPrTtK4zf0RWaYA7QkARmh2DB12c5nEVkkzKvnolAfdQKQMDFuHgNjXVdo4p-O2pCA,1150
224,8NX98uVOmKE-S6SX_18CTy_qIy3Fb8DDy0kpWL2JyHovzp7RZrTHQNaDu5dz6oDpFgv0n8idE8hSSw,1149
225,J62regweSBjArC94ArMToOKe6jy8BkTrBGri6j4wEq2Z6aezE8idaYo7Ub8fUcTMtqhO2-FRZ2YTiQ,1149
226,kzKftgMRp-5NSKPvYZnrne7g-VYYgaR4O1D4KVSmn_fPnVzF7wfpCnJ8m9cMSo74eMPH9wGcc0awUQ,1149
227,v37OUNIxUPIqj2F9hi04XsCEDsiYfcB6ZOA--6wACrI0J_h0LX8xjlQBeFChfAE7bPbVeGpqpJ1YQw,1148
228,NA8u3AY_iLU6O0UpTw7yw3B8ymEC0dTCVRICYW8ns0SbnMUMLhJ-yA9yMd5bMkqoW-07TFVJ3qv1xw,1147
229,nE4W-6OIxE68GNPcbLlqNX8E21hvQuYEsSRxsM-hNIi4F4vVGvkG1DGXTCHIqmQZGWNKgQm7JwP6ww,1147
230,oqKiHQd-fyWyS6vWwqKv0VyHy2nHzKOO1oRcwo2UFHqpiTZ5b8EodlZCBdAnK8LAVVyDxdhEvATxjg,1147
231,a6XSNTZt9eh8F_kUxYxC-o8h-UxQzWE42RsZVY4PnzvGZGNjGtlZk-2a-STUBk6i8NBX4BdxZDcNIw,1147
232,AgdIQuhMWbQwspuchX806OJ4C6fR0pqBev7DZiT97RlrYuIeY5mMNBwkBOaUFCIGQJntrFRqy71t6g,1146
233,fW2pW7A5GncrCQ5gwLe7M_HZs1XaHeOne8vh2RH2Vp1atmui6hKAW026dZwpfByU8rsCjxbk0r7q7w,1145
234,t8N_AZ5_BMJd_NGiCJCnLENIq0AExqlAHTht8TZ0ycspv2CG6n7zGjSALboU6ioLinNpMr51LI0iLQ,1144
235,8SpzIFbzS6DoXRWc6gNDnHOlpOpFR2i90Hsen8gTZKWK6Y4tlvo-PuqWJizvHu037Gz2uT5kR7TBLA,1143
236,2QjApGFAxGciBLba3nZo1ujLwAuwbCo3IiM-cDaPteqtKI7XfalVXMs00Qx3CMK8x5ZIPRqEp3VWIg,1142
237,YwkcqOQICbakGIoPMLwlrwHtH-C91iMPMsdg9J75TRQWHyw_o7e9KgOZVyM7hIKknH_XRq97f-eyxg,1141
238,k-JoW0TW4P6yCy7R1mTO5oFiiDpTS_Ch8-4lLIssFD5jsxbtMU1H1Oj-_ob4JQxEHHpO7w4SY9ConA,1141
239,B__LeYsPNy9_DPEs1slW6oBdQWcLWJZCoZxQCEsHkQW6q-1BVnHbXt7z9bHiA-6lgvZtW2x7_jmifA,1141
240,XVGuN7MWoz3KP2f6mq1hEkoVJqnuufDjKckz6ZEt7HV3wvHuaxJmeagv9tpkMtYIcNTwGdgsvRR_xw,1141
241,TsG4lw_nL7Y0D06shEGbREbnYPhAJUtszBiHsZSYFg-degTRfSc1xtiVbdlCke2s9pA1WDx8oXW5OA,1140
242,Bhii-O4FzqgI68pYoIFrHJQP2MiNnJt5HhlB2fX2kOL4qM60hv7EQtDslZ5pK7squjQ-gMR4o7f-Ew,1140
243,kcEMjeGcV0AKU5pOIB0TApn7MMB2FSH0W5LpYZteor9RjlXfS8qL5cG06-hUYiobeAtwy7iypdWdcw,1139
244,5hnLvNR99oPaMuXYG7Ol7yBLTMSdqkzI9JPH7kMJJNR64lQCGEfrKA06_BPh127yYqVNvPhQRRtSsA,1139
245,Wk_KdvQFgY4DGkzjb3puVFDZsNktiW3arWfZz1ugGsYhWxS33Yigh16_cyQcF0talJn0GFrpcTGXqw,1139
246,ghKWnfVn7vlXob3n0pDLKG9ImufnBmQB3JaVPNQqamXPswNHAsVNfWlttnV5DR_O905Wjf9PpDw4EA,1139
247,GmdfXdmXmZrYVn4cmmIC3coSNgh7wsBEjzi3iUthfzHnVymE4lldkEHwYdc7SUsGDIdCxd5mnIBT_g,1139
248,3nuTuNmFV0KjYciD6Z-huCRVVqVBCPYT0eUVyPsGRhy7N7KkNHsJo7JMFGnuCJsxQYVXWLOSu6eScQ,1139
249,hYRJP1TmHywoY-BXhZtBSW4mjOcQQ9zZvuth8_fR40cIIRGmnJvLbkDE0014etxsLsSjizQE2NwOgg,1139
250,Y_0c5MBjfVeKtVkIQ3VohX6PJKeu5atiWYbj3UnyEiZiEnGX_kGCWyWhuPYajej5Ze5Qm4RSa33fDw,1138
251,J4KKn9yasTb5MRsm-1icYi134bLNGmHUr6h6Sr_VLlzKG9oFR6GYsYOvJMfv-xjcPArZys9EvJr96A,1138
252,EVaRBA4vR2FSeJ8YU2UkvL2rK4p2iPlrHxv09fmUHsk8ImRhD9NZ_9zLA2wF2-Z_I9ydnNWopJVWRA,1137
253,X5vQZxFcNKnwyFzZ0PvBHCqse1lpDIELyvG1Q9hY3fvHnXeDRqO-0btc6dgBxJhd26vFdszostmrEg,1137
254,oJDkPWHOu1_UmcU8IrLOoXkgLUrUYNUdwKnBqkIF1zLzDqUIr0Z-rd80eYXaXCZp18YdamRUQztpgQ,1137
255,1zmA8I6umuesTCSGS8u6o-S6ULJfJofeMVn3HW3MdBhlbaPZ9omUD5JoM1q5SF-ZqZJbllcU8F7AtQ,1136
256,Qccc8lbaEJRptyxGy-AK9exiL-q4l_pT1qSLkXzyW8Ck80xhXBcEU4rKGTVckJKODv-vGWCigWfAnw,1136
257,epKO4rM3OcCiO-ydCJ2rXWoGcBAN88LQNAdLyoIrh230vLl6ririzPizWO-hgVMWIY67dEayW5Q9Uw,1136
258,Lr9P6p2P7Qe3oVcN0Dj7UyeXPRlCx1BcmSrbToYRDK7NcXJhVb8l2-Tufkrjv1z4YfsV2abCJt6Xug,1134
259,j_CBM9fPpG-ots9EEFi7P5RSMjqiCr0NQhZLV7s_OntJnJogVeQRO0_Va-xwqABkaiy4ea7-WJBpBw,1134
260,IvY31nQPEUPKX0QBvJGvBeojLipKifYholeihrgxTKh4L1Y-OP1xT_Z6-YNNTvjyxX814lcvqHSKlw,1134
261,Gn3QSfnBexwdj_7F-AnoblqM506D9nNKSlYrQkuvpV2s4iBV0tGvTy2x4JZeGXtBy7FjwYepZDhwYA,1134
262,5iDi27TWa80NjysTHActQvNtFpo8KUs4rMTK_pWdaVt7tDjULdzj95XRIReg0qbP4jgPWS30FaI2mA,1133
263,AtTtSETmkH__kC0-wSv0nAmBwfhBPR8Z-ckYckbagjuOoGKSSUhrjhYvFYrobpcXNynD65evRMxyKA,1133
264,5OQxNjRT95rQ1uv68noDWwnMIGqChuRA7WjnXEf5TYr1aUmgh2FD3HBMmQA2dLEwwSa8LXAjRpgY2Q,1132
265,Aco074Ji1we77fOneFLpcc1NJWm75cwfuL3mGBOEuuBWETZmSuTu3TKczcksZFqrs2P-7BbkbGiLEw,1131
266,29QOorU2nptUu0U2erUUSf9UsjMhfpJRXdMdqqQumcCI6AW1S8_W4kZaII7LuJw8RCYuVJLWLjMo_w,1131
267,yff92yUq-qhg9BPy1I73OHXl2ttrStL3yYaE07Nze5OovguKcR65irNF46E5zpsp7w8fN-2kbtidcg,1131
268,Du_BBQyVSnZ3Vf8wWyk8D4BHpTRQjJjliYqCNVYVALKAXtwzDsT5sPccbqsA6w5cHZnOgiKMcRcWUw,1130
269,4ut8o4xswO3aM-9_-BP-zLRnTU2iGR9-OF1UorfpCnd3HequiqqkFqShhxFYot1z5txQhcsYKXS7EQ,1130
270,5uEoedI-8SSb-TP3YxMlv9K7cRLtRKI-QLAiZfPHdRsB_QgVkEpAIZOtpy66OIU7bZ4O14k1ShcRMg,1130
271,1KLCzV4zgjRQoRR6oDa9LsSP8awtfqNUxrX_4VbwmN_LuZlIHBFHq7Fvy8BqEXvXfBjcinXkdVtttQ,1130
272,gbRL133xxgnBhP0WLS10VH7tDVItwJz4NEp_3iiVXdnpZDUr5y7bwSRM9uaFEareMmYqNm-QwA_JiA,1130
273,lp59yfvkRp2jWo47Z9Yb0rn6nB7E6Z1Qet3INS8k30syHpi21I-acqreiBGrGSAq_b0pXKBi6wgOlA,1128
274,wRULlRT3SyST7lGEvBPOeqC1B9sZ3_CeF-6i7WJZw5oLAupwCcUdHpHBEls5Ndfx-kuGI2oV4TmjCw,1127
275,8_b7WOwfeTfqD2uqReoW0bvRk4GsCQk-wpHpbYlf0GgSLAgGGCoNdHTIsaxeLxFk5nbzO-BopknkOg,1127
276,SQ8miveeA9TR2z3FntPWe4tJFtajjRF9WRTm_liTooRKARVCbl5HQY6mPglYzIXembUyhy0vJVJ5uQ,1127
277,tuZ1NdhDnKtxZTq8zN7zIUFNsALoOFUKu2qRyiAFbm0nOz43YCcYFeEjRqMpIvpux3lv0WNhWHp65Q,1127
278,iZcn5pnnMUl73wfyqTnuEKeVmXTMJvzmfvPnQuyJ1sKOu6JUG6Tr_E3BcAop49QZX7IpXKXp7nTdQg,1125
279,Ry6RsR-dtLeAnCHxac3dx_U7bteRBv2qLSe2Vf9eyqaBgWiCobQW69LV-Z7oDaY2-JtnIN7NjLdrWg,1125
280,i_VDZ22JNJQpxgRq-kxTRdY7o9P9rjbX4e8FR9lXrADe79nS79wgATxTgP3zJ-F8HsZBnmoIlKmgLw,1125
281,iBz9gY0nCNVg8TMsgfHNTdnKw93Gg6Y_6engzmu-Cj3FUd7jhHc76nzBoBc-xNjyMAA8WKApgXitRg,1124
282,YU0V37pkxYxepny5pM3JeT0jADU3IWnirL7nAvrPNenTKZrf5V1Ub8wblCQCthtq710wjgo5x2iOeA,1124
283,NfTk_WQBEbXV_NtchZnTgQa2bK6rmMAhyYPCMHelgoKbTYf8PWE_Ww0J5JIMeWbcujOHU_te04rHdQ,1124
284,iSd4Xb_jE7u11lJ-3gnc2CMlQLGA7IAAvYjEvfF7zlJvKwxIRS3z9dSBQXTe-S2TH8uH-dlBHM82kQ,1123
285,i6vD-1a4Uf7uFgMaOZGl4YMwOL80c3qo-7bRBjLbRz2TNqCQBlVpeQ2S5B2fmJy9k3feFs3wG9oBtg,1123
286,1s3h4Oi1jFIitfWBGMLSE9ImI6eaRk1-Tp8PMgiSyJb1k2jA6GBxPbexCi2u7Qbywpmg4J_g5PRGhA,1122
287,dkbyM8cnKpWMvORZEdKjDcqJJliSLVwSto_QxKlWk20m6b1WW9t8e-3agkK24EmG-HdkjveYtZf1CQ,1118
288,XhUlc8u1W6zkYckVIF3HGAUyX5wKCpqApsdvzkiD0_WvughPYyPGxkzqM5egvyuf5fwMBOYJs7Hhaw,1116
289,5aopna3tMTM-qRUAboGt1SMogByx2QzrmC2F3yxR5QL7RsiBs9tsTreQDEVwpuDKRryEPSyt1Mgucw,1108
290,RNW_-lQnloWk5YSLOK5d5ZhYRF9flYepwsQVSjj-tNFvn2Lb1tKDBY-ZPw2brZVuwsOAT44vmZre_Q,1100
291,IYF1S6ycPsoFQnP9GiNsKof7-D1ubSQyanns8wGZY-ut7aK5YoxykjNzCyzzXkLQPw1QDlrYCkKs5Q,1083
292,pmMlNPzti5W__uMjTgZyLF92h630FyX-s01-36vLVREhYK5wjP_dq_aSSBOk8yxJSiUJEHSuekNlDg,1076
293,ayq06sgJkoK_cizx2ebsr6bw0gwO9Cxnyj5tSJMT3fTMztvSRlhmG5GS0HNV4uIZa8_qjCjbcYJcCw,1076
294,k_vFgYaBWbYFM37hY7o0LCmj33Dyv6Kk1erZ-iUEhTGI_EsJqRKfiPhfdRBW86YwLkmTqVj1v13pAQ,1074
295,fgXks_YIWzWYMhIuYIjJW1rm9bupEz5MgbrzE6qBjGGnkA17xBtfddThNRHcDypM5cre85xEBx7BRA,1063
296,U12QQgQ1XEby-IGxLS-XEMYHLNvjG8OLMvHWwvzOXXKli2n3UCpg_6mxw0NpqNvLW1rA7cxGSHxv5w,1041
297,IgyVeVnvCGWX_Uqztp51pbMStA3PaiMIPp3Zncx29cTbHT9xOrDpU2endV2BFdLYSicZqiYVXRMQCA,1039
298,d0Ra7Arr9MwuD6d9jfv5AI-92tXZlBm1P5c0B57NXCYiccdsNNtpkjwY6DFzDVfKTFsrnrh9qUgYag,1016
299,oMyiV-xifOn3QLAXX2YQGfdRMIyc2TBZdvZJRCZQGwkB4ezi7ZtP174HLhf_BVZid6FpEojDZM3NeA,951
