,puuid,leaguePoints
39,Plz0G2RnALNCnJ_lLYiLE7079s-ixW29iP6PCjWUWc-GdBYkIOSzJOgxtk_M_hHia--VN7qkT2-Qfg,1382
40,DNFvs8zu-ab55badYeoJ3sXIipD31SW8QtaaUm4zAyx6S8fjoRJsBSyJZ3UMDLFB8oX7BiMB3JuzUA,1378
41,qjM1uLIzw_LS8RMG12UR5n4fg2k0TZ93-DQNAUNsIil9xkrC5ANEwUCnEYbDAL7icVkP33G_V5A9pg,1378
42,ajRWZPcZHngs49sg4tXedEytCIpqJ2PM7eK8AwO6RaAaTaJpWEeo1ahApscDAk_DKGouqPchirvw2w,1378
43,X7a_vms0s5qHv_P1Xo5ShLjayQhqIsAEz214h5xXPODKWTlNLZBTDd5xl_rukjCo3yZ8sLZicprVAQ,1372
44,Dd17jyFyrOPLXFB_bYpB1nxdF13Lrr06lqZC_mFU510tfc-u1tzhrizTFpv5VdTFiWF1ouVOZ0ZCLQ,1368
45,jIeOaE66qby2EpEFGmvpZVWRjHCzaDav_kG-g4ESY1RmFbryOdx0OnAjjvB9hUvr0By2HXv37MVlNw,1366
46,DyKTQFgnNpsfpJHm4XEbVj5uRvv37_67aPeL9X5K-KcSlga5N9DNRFC_BkQpABafTwW8fuAPvLS_lw,1364
47,t8h72X37xPEdig9OeyhL7W66QS-OqxRspmq8OrwUrtELKJvPLFhmTLqRNPxEcEMfOfrnBikGse6Aww,1364
48,VBHfFPgaUaMPT5U0Uzl5MtFkf7nodh3VoL4Sn8XxtOg8HObA7uZkDYQgsgtqsVlOxqest-s-DnkDlg,1364
49,pk0qHWK-pztx31FHtFw9ZDu1VvIHbiFFhC6OyH659pIO1BZNyBFaxpKipP2NVP3OTGHy62_Gv0kTxg,1358
50,uIzyAjDosSAEZUrq9BSEzYcz2i4hkuGZWMMfy2dDKjwxXTbMgSWyq0XsnTRkvoPbULrlLLgNKAdI6w,1352
51,R63bpps_u0RPVumf2rF9p94KWCtZ6-NatLzYqpYqUnHnP0rY-LZiiDolYCN3Kk-JbzXmhGpW3g9dfw,1347
52,MVOeqLW-Rkg_wLj6bYbIJsJTgCAywVDMvbXgaa6Vg68-RlwtMmLDNHtzaXHlX0OPxOss4zilClhKsA,1341
53,uEFL7MTuCE8EE3IikdMo9Rfhf1X8cWXYZehb0EVLv2077ZLXsWrCvPw147VtKbY5t0sOI_bC6rQsgg,1335
54,ZbssPcu8PHvpxo2gQMKdlLTZPTrZ4Wltt1utuB4KkcOeMNK-QfkqKkJMBE9LtZ1o_qrMyZ8ejyRRPQ,1334
55,l1Sj_EJBkwSmwkf5RdMXeTINVca_1C40dTZoKNVt9VnqujJNd6ZU9xTmE6Q5WfdS1rQN5L74eI7yuQ,1333
56,xEDh_xS6nRlNykiegHd52EGTUR5oaHt-15yLZGiV1j9TmLHB0W8Y5U_R_q329LhNAHe9Btl83Pr8VA,1333
57,dnsoT4lfM1kANa9vfdHwDRC6rRNWD46AhBlkcw-QEcKRdADU8mJV1Z5v0zLVfTOidT5FAcFmy5QmMw,1330
58,q6aXuS4-0j6egeIPkctv5pRfQStx761YASMNCH4WxiIbKr6tK6lLzRD6UCwVGbPFB6o9Ri4137VSWg,1329
59,QCFHKsrN-953872_eh9RcBuvtT0EcALtKuhSzsgg90F9p-z4d7ICgoYuXsJ9sSrda_3PAUiHpk2crA,1326
60,TXt6lfI3djqvu8KPFRLKpSKTksnOyUXZvjWwNu3j0w8wQ2wWR-QKD1ZN-jinoiIhBw_NhtlKIlfs1g,1325
61,UuwFqGuP5rvTvjRcctDjX6fio8_M5H7Out6W5mFKZzs0XECPtPtrYmv4u54aXN_vDG8t6ZaSzjcUOA,1322
62,pbj2gGXadX6eJUaVay0xO3R9sYMp4xberOttZUzdNB-n9F-j-KwTtks8_3vKH2PxvNG7VC9iE4WBhA,1322
63,kG5Jqy1HHgpFpOrYnBhhOo7wATIUHrtDnAR2BOsHfWorJn68OgljaA2bTRhN_Q6CbBBxGjzVP1dN4g,1320
64,6e8k4IzPkZs5xopm6vNVAMs30FlQpvf6xIPiO_k0C-4TFj8WPwjvA_N5pLkebr6eu-NDEeXZnrJdMA,1317
65,5fU1IwzJMqgIoT_ywuYPStHo3XImKC9qR6ML-gcMwPKAcKj69A-fchbK6mW-wy9cj-FwXW65RPU8fw,1317
66,fsj60ZNoqeU2Pbtz6BhFDgaRNWgLmaAPi39OMiJv4zB-xY4Q1bKCp8Qq5bqRzsY6vU5Y4jWohIzW3w,1317
67,rxU0aTNnMogvAra1HafOK6Y1vfuuleqS1YRy1JNaDPn44Mn0TVAFqKi9fbeS8aw8VaBLrV_aq1FTTg,1313
68,O8SuzG52LDZPVR_Wzq0rltgWsgK09V4LZyANoI0VHkPOhplWXW_GZjtS-K4zE6I9AA4b-869n2DfjQ,1309
69,-JQRaJBlZTVfq5bkuPT_gjCOKEI1IRlZ7TieLKlQL0kEdoPUgMI-By-Doz-Zpdfq4gy_DbwGleEdgg,1302
70,0zABnHJPLXPAKZbyC7Ed7vDX139wMIBPW_G8uHTLC1mh4E8MUq2jzOuK4TOFpoWIXLrLOxOvq8FYGA,1299
71,xnzt42ageuh_GOFd7if6_B6d-dwHMOn-MKcRzt_f3rzgF3jyvzVxSfJQPHThQ9VnqGulTppwT4-7Gg,1296
72,3KguYfu0NWRrrE8JKU79CahyVmb5lDTabLe37DxoEGAttYh1Gn7jOglR1VKzG8XSjCCWJiGEDzd3ew,1289
73,pDwxjhymULfx1pVhwCT9oEk9pbqcaXpBlBVYj-EELD5koOiwRcUZQ6wNT1VqU67yRaRxf0FZi4a1Cw,1288
74,1roPEWaakUR9hL9UtSFRehy9q_UBewe7j1zhzNPh60BrG8nhgBMpY9gmBP-sQlnl87MIgFWAFnPRLQ,1286
75,0B5zqpQbGM7T2uNFYwoltZBvxW4gBK8cUMMKD_y3ayGDT-RYAmsPQknljbCTLzXl2uzBY0P2lr_Cmw,1285
76,gncQ8FVoVslKV9WsQ88FgEjq2VFAuVV_3qfIxb6ze1xFeXSEWaVEkxHYOtSIyZn83kZ4e_OACX8hKw,1283
77,dXvBrC30yN3ilxlWeoP9Y5kFSuALN1RxgZkyJdfl1yuc6WseA3Fwxes0BV1bY1brAVGw7NcePBBOsQ,1282
78,O0SbHxnDvywmBN1NUDIOZc40nx6zHnUMeZhI2L-LMyaEOkG_c-69UuywbKvrBy15fyPm0FoR-t1HMA,1279
79,rYSTe28ll9B1diFt4VGcNnsDqqIfMpyX-5-1nrfmwvyOk5N-SLOM2sfnq2UzmUhdqfwLoVZWfF4KNg,1278
80,b67QHEi9PD1Sk_WupqDuIiZLZEplnaDlXwEDvADxfEqAETkPgcaYaYRTNeD6yJ0116t_1zEcxKwo7g,1278
81,EtojhuroiGtdXFQKJHak6llvMLcgK07DppFFL3dOD4HoDbdZX69p_N_cYQHIM5-4krM0IZmse3Vv-w,1275
82,J_o18IIXilk8TLc8cbeF1h4D1XDL4x2Yyazek5N1jPY0Y4rP1qZTGYHAVCSKqBLMFZN0mckZ3JV5lQ,1275
83,OZllhzQ5Nhflq9n12aVcuoOFughoZJXckrOLSDwcqemCXCEtjyyDaIyI3g9HcCAKJskDhrCBsh1-9Q,1275
84,cjnqQshO3EZoK8-T6PhkHDW3BVqhqlR1fCZOKdjf4zFf1Z8n7kdwE0fZ1wuHTVk4ebIexSevXnQD8w,1273
85,n0BbGN7WgupW-mOG0OsV46SCQxeD2fXSBLVK7oeWclVdvBxnVQfPkEfw-cwfafVv1H-fUdRw2MQVSQ,1272
86,HSsGsj2coG95ZHQZJCaa5rSPDBwkLizDyYmDy9986Fwc4wP_ANg4KTNGkyYPsGVPVonuxxWnaRfr7w,1267
87,Qinlkzveg69S0a07eGP39d5wwb54vn2AYdKQfH0jXX6y8JtCNWWsieMnFZUpPV7J_TksVepwankFEw,1264
88,Qvw4dLSuTSkUjjjmSGFw3433Ekd_VIwG2DS0iwbT62VmqGRpJz5B8AlqBiSkBzHalaQC8EkoMwKnow,1264
89,Y251v-33mlhr2bKfah8SennHmlDHHaBxTXe8hqwWvRxA5xcxuMUK4PYFdhfwG5g9mSGYll5wP02XVA,1263
90,gjuRj7p-SVgPKOhV4ArRoJuaIiOW8BE1VjPO6G4YDRXzO9RDexXcWIEriLF8saUcAMMbP1CRWnhJnw,1262
91,LKZxx0A38_xbRMaRx2MvVdPl5EwhEjLoo_sSjLpO-4831Py_Zc7lBNHmVl-1lEal-I4ZWi5ukzU7YQ,1260
92,rVfWje9fEwqCJblF_KF00gvCiGBDmTThmtkHwWLjTzOLGHFwl5hrDJd7MiOfkY26lEgvtycUg-kRjA,1259
93,Jvks96U4gxe1Sy3lakwaKLGY6e4QxCV7E26sC7MIUM_zFQnAtqsqXzdM9qttrjKg213SnOcm3MT-eQ,1258
