puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,riotName
6kpcRoruacwEuqNBReTaqDywJvKx-It1XEGe6F4-NdEUq4PNNuiBuSSq7YnaVJuvrT6MXeGROtgT-Q,1794,I,821,599,True,False,False,True,CHALLENGER,클린유저 홍성하#KR1
cNF848LI-UGSF59w4E0HJ7nW4Ia6ykMl_3KhgIQn347NO4Q2CyzpxvzrHtpW91d6DkcFk_LFYzQ58A,1775,I,288,138,True,False,False,True,CHALLENGER,ROC Panda#Panda
AJRNXyyBy8CYt0dl3Nze-EFqTYMTbYtNFQziAV3TuAYLVruiS9KuBDtQ2g43zPsD9TgMlm1CSJs84Q,1765,I,293,190,True,False,False,True,CHALLENGER,Kanata#TFT
ihErXRxZkIbmoavetRr39aDrJSFH0-1N-_Km7n-SRxRiS0B04dMotRnP0gImeaKuz2hYccyg-__3Dg,1722,I,446,311,True,False,False,True,CHALLENGER,만어리#만어리
9GgkL-cqGiAx2I16R7gbEHypMqhggeSrZsXz1SRz7ggYC-_qdJ8VpPjOUvLqDWib9_WweaJLAkcgSw,1695,I,339,235,True,False,False,True,CHALLENGER,엘무무#KR1
lmjxNkxwMaBU6d6LG9jGj2VfIIHrxaf8LubwGrhXtSJ_nPCyH2osjP5qANOdrmBlnBrjYaVN9fe4bA,1658,I,518,247,True,False,False,True,CHALLENGER,띵 땡#KR1
k9iFvM6BNTBQV7g7N09Kc6Rh0KoPDBNZ2vodMExv38FC3b0e3hA0f-oTo1luLpLxvfXBPucB2f1V1g,1610,I,678,386,True,False,False,False,CHALLENGER,고려헬스클럽#KR1
hXDmGEH59mUnfrg-lBRC5kDINDWpV3Tmak0DjKvBFJoA9J0kaAinvdMz7aQtSFyGkLJI7NEep_6w9g,1582,I,671,484,False,False,False,True,CHALLENGER,MessiOfTFT#KR1
7lWrVhOcwj9Pvr6jfpPqADmiGWcjB7UlmE24IVN88zrELGX5v-vW2Kj_-JAa-VjzUoAS8fPH5RvlTg,1577,I,348,246,True,False,False,False,CHALLENGER,zxc12345#123
EI8gUGAXcbn273kKDni6QrIs2VibI2oRnj85rOn5fxN4JwrfvnEwJ4iRgTkICobi3xVD7RLS7B__GQ,1576,I,120,52,False,False,False,True,CHALLENGER,T1 만디#123
J_jcM0Ny0uIlhyUdFR01UhVWRBVFgPGP7mOttJJ6hw88-B2h4Ssgc8evZzNOHkDAVO7b7flhEc4L8g,1574,I,311,240,True,False,False,True,CHALLENGER,개소리 한소리#KR1
QMdG5lDNycdc6-AIN88kqNUAoaLToskZaxRndwLFGTF9rwRrfx92S7ZD8bpS8LY99FwFBqBMgTX0jQ,1570,I,263,167,True,False,False,False,CHALLENGER,피부미인드록바#KR1
SWPpZrL93pXfSU3DNQSYg5Grzxwv63qMmQVBAvwIoyYhrijJklKWTH_KbTWUNaWG7UbWNW121YXjCg,1536,I,236,122,True,False,False,False,CHALLENGER,종범1#KR1
X7a_vms0s5qHv_P1Xo5ShLjayQhqIsAEz214h5xXPODKWTlNLZBTDd5xl_rukjCo3yZ8sLZicprVAQ,1529,I,365,315,False,False,False,False,CHALLENGER,바텀그만죽어제발#KR1
FqhcwWpiAuVoHpMza3nrjwS4Xo9PVMYEmMPsl33JfD5a3HjpSaS1gNVqU1QYxyHB2WZGtkomeCh_gQ,1527,I,170,109,False,False,False,True,CHALLENGER,치킨킹BLT#KR1
YRJGTOxDLiZR-gVhTcU_uFOapFpN62A7S5TgjTJcprjfZWwtBXzVAvvPFnwCCC-9nMNit6s2QVammQ,1521,I,290,234,False,False,False,True,CHALLENGER,Chess is cold#KR1
Plz0G2RnALNCnJ_lLYiLE7079s-ixW29iP6PCjWUWc-GdBYkIOSzJOgxtk_M_hHia--VN7qkT2-Qfg,1493,I,239,158,False,False,False,True,CHALLENGER,이년만#KR1
O4kQVUpMvEZbmPX_TONh72X4NZgOdgH0m3ZVf3T-IOFipdlJYCeJWk9SAcBdcybwJWSPJMc_pSXQwA,1493,I,224,138,True,False,False,False,CHALLENGER,근연만화#TFT
Dd17jyFyrOPLXFB_bYpB1nxdF13Lrr06lqZC_mFU510tfc-u1tzhrizTFpv5VdTFiWF1ouVOZ0ZCLQ,1480,I,663,545,True,False,False,True,CHALLENGER,난몰라#KR1
Z7hlitmRN3shSpY7UlXmR1jF9FKYDstw1zhJ4XWtZJBKFiuSZ0Bvttmobq5bOVmDb3PokAahjl0xKQ,1480,I,336,214,True,False,False,True,CHALLENGER,지보배#KR1
lJs94fGHNnwH-UVrWtgNM6iU5pgaDlj6jdJNq0_o5cpfKdP0mIGaBt52lK60W7nnDgtX5QYDReF3KQ,1475,I,281,170,True,False,False,False,CHALLENGER,102#2600
7E2SYLKVZGVSlQGGIepyqKbhRSIrlhr0g4RNHMdFOq-nFO5jsyOnNmP_v0Wi6_duaO5eOlfPEknMvQ,1475,I,177,103,False,False,False,True,CHALLENGER,가죽부츠#역시구신
EM2UUs4zNm6LQ4rgqZrJKA0yhB08CEffTWq1medh9U-xOWp5fJ3ofS1ia1iuY4gm0mQrxBLWeWoR1g,1473,I,173,93,False,False,False,False,CHALLENGER,졸음번쩍껌#KR1
_rFrZFllde45oEG3mKMjxMwhEH-bsBy9KZGesjXxqJyfbjfXrCk_DHAbL8uH1CvQwaE8nep9XY714w,1464,I,643,553,False,False,True,False,CHALLENGER,Levi#chess
RjSmVNKTHbpvytFvvaQN-yBEEA6G4z97i_OOmhaoU8SZKLaajW6AEw7Tj_uHSmKtwKeuwTZn3PVaHA,1463,I,377,251,True,False,False,True,CHALLENGER,마빵왕봉달이#포카칩블루
Jp96c0tD_sBQbjDxDHWMYta8r9173sm70hp2jIE5jeBaCqM_erjvsEX6PTuU7vtPfXoVGohcBqTDfg,1456,I,339,290,True,False,False,True,CHALLENGER,오리너구리의꼬리#KR1
8NydjoUk7lPNtm6RdQSjHepkDHhRWON8VqdrPtTKIALx3fB1hxUv0VWmCxHIrej-H6zJnjvM8uzdew,1455,I,165,92,True,False,False,False,CHALLENGER,J Y#2002
fhTkWf40YNzEkruzMSsMxM9lbv1DfyO2AMKr0pt3YdUw-HYf_kDdlCP641Ghk7jFx7xEd3rz6Ui3og,1449,I,353,218,True,False,False,True,CHALLENGER,세훈에몽#KR11
fyIy99Fr6QX6JYirgx6L3Ij_gvTQAGWNl-KQ-nABOfKwCj287smAilVS3xJDAkla6zwW0w-fH4dL_g,1441,I,387,282,True,False,False,False,CHALLENGER,티치갭 Yugggol#김육꼴
pk0qHWK-pztx31FHtFw9ZDu1VvIHbiFFhC6OyH659pIO1BZNyBFaxpKipP2NVP3OTGHy62_Gv0kTxg,1439,I,337,235,True,False,False,False,CHALLENGER,ROC Ssangyeop#ROC
