puuid,leaguePoints
uR7Z549Wnx_f5RsztNAwHFI8NCKDOcY0rqZAnt5vOFtvBR6vNnuB5ehoBoWj4EWUOKM4m5O11Y81aA,1459
Jp96c0tD_sBQbjDxDHWMYta8r9173sm70hp2jIE5jeBaCqM_erjvsEX6PTuU7vtPfXoVGohcBqTDfg,1456
8NydjoUk7lPNtm6RdQSjHepkDHhRWON8VqdrPtTKIALx3fB1hxUv0VWmCxHIrej-H6zJnjvM8uzdew,1456
fhTkWf40YNzEkruzMSsMxM9lbv1DfyO2AMKr0pt3YdUw-HYf_kDdlCP641Ghk7jFx7xEd3rz6Ui3og,1449
VBHfFPgaUaMPT5U0Uzl5MtFkf7nodh3VoL4Sn8XxtOg8HObA7uZkDYQgsgtqsVlOxqest-s-DnkDlg,1448
kDUz5Qn4JWSM2zQ4FK3PjAfiF2Cbi5K-ekY-SMAvlAuheYnZ1gNuNQY8IO72gWxAttnaXrinyIgf_g,1443
k9iFvM6BNTBQV7g7N09Kc6Rh0KoPDBNZ2vodMExv38FC3b0e3hA0f-oTo1luLpLxvfXBPucB2f1V1g,1429
UtmcGRo9tKNRw8CQ-5WK5wH1hSoqM2Y2y-Z9Z5de7LTKiyott6W4YeiRdnYcRlu6mVtMEleX9mmSmA,1424
4M8-7BCtdS4RHW2yEKK1g85Avq2RM54a_UdfuyjqO7hcAOFyPjDp4NPf4LvVCtBeU5iaFIj88VdEgw,1422
sqLS9R6gayqA_ses7pyu0XiL9pLP7GECAGI-QexEqSmxllxfyiaaVoZLAC6fwfd3Fp70CcDGl9rB0Q,1421
Z4TDXv2VOkzomcIjdw6vTTJ43E2b1TrMVQGae8LyYIoVbfG_8kZz6WgRHejISxX2cz_o2ST7v0sq-Q,1419
ZiiHpgAsW4bNf-D_wwNenfV7Ffq5GLmTxq1NnysHcoO4x2dI1YvSBjgTUQ2y8EoZOc_4ol3srio58Q,1419
EM2UUs4zNm6LQ4rgqZrJKA0yhB08CEffTWq1medh9U-xOWp5fJ3ofS1ia1iuY4gm0mQrxBLWeWoR1g,1415
q6aXuS4-0j6egeIPkctv5pRfQStx761YASMNCH4WxiIbKr6tK6lLzRD6UCwVGbPFB6o9Ri4137VSWg,1411
Dd17jyFyrOPLXFB_bYpB1nxdF13Lrr06lqZC_mFU510tfc-u1tzhrizTFpv5VdTFiWF1ouVOZ0ZCLQ,1409
X7a_vms0s5qHv_P1Xo5ShLjayQhqIsAEz214h5xXPODKWTlNLZBTDd5xl_rukjCo3yZ8sLZicprVAQ,1405
xmkgzADnL8XUj2Wn-3-ngHRKrVqpMGZCUfoZgWD7kOxwIzxJgQqEic92irr68V4cjxuKlT1tO3-Zag,1401
RjSmVNKTHbpvytFvvaQN-yBEEA6G4z97i_OOmhaoU8SZKLaajW6AEw7Tj_uHSmKtwKeuwTZn3PVaHA,1400
NsMAxRlEeePxQjA8GaC1u-12Cm-QhzAFJGlusdDSff_K3WOkiec9OBiQB_O7v4zeTPhGAAbyFsc8mw,1387
jjd0iNZtpsJEu5Z5W5oAtUB2aCGdVOhFrjjuHPsgdOP0ijAU9elJxYtsZem3iUY--32xOJ_4WNUKgA,1382
qjM1uLIzw_LS8RMG12UR5n4fg2k0TZ93-DQNAUNsIil9xkrC5ANEwUCnEYbDAL7icVkP33G_V5A9pg,1378
DNFvs8zu-ab55badYeoJ3sXIipD31SW8QtaaUm4zAyx6S8fjoRJsBSyJZ3UMDLFB8oX7BiMB3JuzUA,1378
5fU1IwzJMqgIoT_ywuYPStHo3XImKC9qR6ML-gcMwPKAcKj69A-fchbK6mW-wy9cj-FwXW65RPU8fw,1370
t8h72X37xPEdig9OeyhL7W66QS-OqxRspmq8OrwUrtELKJvPLFhmTLqRNPxEcEMfOfrnBikGse6Aww,1364
ajRWZPcZHngs49sg4tXedEytCIpqJ2PM7eK8AwO6RaAaTaJpWEeo1ahApscDAk_DKGouqPchirvw2w,1364
DyKTQFgnNpsfpJHm4XEbVj5uRvv37_67aPeL9X5K-KcSlga5N9DNRFC_BkQpABafTwW8fuAPvLS_lw,1364
pk0qHWK-pztx31FHtFw9ZDu1VvIHbiFFhC6OyH659pIO1BZNyBFaxpKipP2NVP3OTGHy62_Gv0kTxg,1358
c26NU3tk-pPj8d5C1rfU-pNSMDhBhQVbFuZIoyuQ00myJIv7WehAXzyU3xce4LuBT1v3L0PJ0s56sA,1354
RXN0N9eS01nKA_l4iHUZfdF9ncrMmwJvDiBUajeDObttuR_aynUMhI702QO6mW_Ukgnvm2PZqyOqzw,1353
uIzyAjDosSAEZUrq9BSEzYcz2i4hkuGZWMMfy2dDKjwxXTbMgSWyq0XsnTRkvoPbULrlLLgNKAdI6w,1352
14gCX9jYV1-FIjjMAx6pGgS36hHGx_WTnQc4Imp1saOFPwez1BSz3npYtkpc8mcrI-coyZ1cuIU-uA,1348
cjnqQshO3EZoK8-T6PhkHDW3BVqhqlR1fCZOKdjf4zFf1Z8n7kdwE0fZ1wuHTVk4ebIexSevXnQD8w,1348
R63bpps_u0RPVumf2rF9p94KWCtZ6-NatLzYqpYqUnHnP0rY-LZiiDolYCN3Kk-JbzXmhGpW3g9dfw,1347
MVOeqLW-Rkg_wLj6bYbIJsJTgCAywVDMvbXgaa6Vg68-RlwtMmLDNHtzaXHlX0OPxOss4zilClhKsA,1341
uEFL7MTuCE8EE3IikdMo9Rfhf1X8cWXYZehb0EVLv2077ZLXsWrCvPw147VtKbY5t0sOI_bC6rQsgg,1335
ZbssPcu8PHvpxo2gQMKdlLTZPTrZ4Wltt1utuB4KkcOeMNK-QfkqKkJMBE9LtZ1o_qrMyZ8ejyRRPQ,1334
xEDh_xS6nRlNykiegHd52EGTUR5oaHt-15yLZGiV1j9TmLHB0W8Y5U_R_q329LhNAHe9Btl83Pr8VA,1333
dnsoT4lfM1kANa9vfdHwDRC6rRNWD46AhBlkcw-QEcKRdADU8mJV1Z5v0zLVfTOidT5FAcFmy5QmMw,1330
