puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,riotName
cNF848LI-UGSF59w4E0HJ7nW4Ia6ykMl_3KhgIQn347NO4Q2CyzpxvzrHtpW91d6DkcFk_LFYzQ58A,1775,I,288,138,True,False,False,True,ROC Panda#Panda
AJRNXyyBy8CYt0dl3Nze-EFqTYMTbYtNFQziAV3TuAYLVruiS9KuBDtQ2g43zPsD9TgMlm1CSJs84Q,1765,I,293,190,True,False,False,True,Kanata#TFT
lmjxNkxwMaBU6d6LG9jGj2VfIIHrxaf8LubwGrhXtSJ_nPCyH2osjP5qANOdrmBlnBrjYaVN9fe4bA,1733,I,512,244,True,False,False,True,띵 땡#KR1
9GgkL-cqGiAx2I16R7gbEHypMqhggeSrZsXz1SRz7ggYC-_qdJ8VpPjOUvLqDWib9_WweaJLAkcgSw,1695,I,339,235,True,False,False,True,엘무무#KR1
ihErXRxZkIbmoavetRr39aDrJSFH0-1N-_Km7n-SRxRiS0B04dMotRnP0gImeaKuz2hYccyg-__3Dg,1680,I,444,311,True,False,False,False,만어리#만어리
hXDmGEH59mUnfrg-lBRC5kDINDWpV3Tmak0DjKvBFJoA9J0kaAinvdMz7aQtSFyGkLJI7NEep_6w9g,1582,I,671,484,False,False,True,True,MessiOfTFT#KR1
7lWrVhOcwj9Pvr6jfpPqADmiGWcjB7UlmE24IVN88zrELGX5v-vW2Kj_-JAa-VjzUoAS8fPH5RvlTg,1577,I,348,246,True,False,False,False,zxc12345#123
EI8gUGAXcbn273kKDni6QrIs2VibI2oRnj85rOn5fxN4JwrfvnEwJ4iRgTkICobi3xVD7RLS7B__GQ,1576,I,120,52,False,False,False,True,T1 만디#123
QMdG5lDNycdc6-AIN88kqNUAoaLToskZaxRndwLFGTF9rwRrfx92S7ZD8bpS8LY99FwFBqBMgTX0jQ,1570,I,263,167,True,False,False,False,피부미인드록바#KR1
Z7hlitmRN3shSpY7UlXmR1jF9FKYDstw1zhJ4XWtZJBKFiuSZ0Bvttmobq5bOVmDb3PokAahjl0xKQ,1554,I,333,212,True,False,False,True,지보배#KR1
fyIy99Fr6QX6JYirgx6L3Ij_gvTQAGWNl-KQ-nABOfKwCj287smAilVS3xJDAkla6zwW0w-fH4dL_g,1528,I,386,280,True,False,False,False,티치갭 Yugggol#김육꼴
YRJGTOxDLiZR-gVhTcU_uFOapFpN62A7S5TgjTJcprjfZWwtBXzVAvvPFnwCCC-9nMNit6s2QVammQ,1521,I,290,234,False,False,False,True,Chess is cold#KR1
