puuid,leaguePoints,tier
AjAngVQNZ6VvuCrZVFT0Lazub5RzdFyeytOQ0ZlFVfUZJpSuK3QxK0XLJG93etbKxfF98BEkJ24Mmw,397,Master
cnIlcKgKmdlPYS2Ic30T0a-t_KRVyVl7dguu4NYwi3QmelOffvgbQ4QsIAXgkTkXjtk7oT0gcOT3ZA,397,Master
riyQXn3vGQ2wuy6z_tFjYSXDjjluF0jeb8AUK9qaK0lsATqGZVaLroC57a8c1m4uT_44wA5vHc2jiQ,397,Master
dIxVgrfhwoptdCQnF3m0KS2MVEed7TQNQ9KbcWwoGSI1DO2CcmMRYESZmvA7r261EAlfxegVh5RYgw,397,Master
2oQypWvAdnNPZOiZCgJc8p7ItnKsv7q6XkfD4SAkeFIhOW2SApodnb3tPoJ9UwkZpPlE4eGANq62Lg,397,Master
y1L1GQkBUqVH97MGx_vJEKopRK7PTeQcsNsYRjc43UMavti55D3pZiKK5dGg9Ay2-HsqTdNAwhkbVg,396,Master
79P5fWwpyTdPi4EYJuA5TBV-IcifelXYhWdmcqXFxypyUtC3-EmRFmoh5d_DO4sqnae74xporFjDPQ,396,Master
UkUaH5ypeijQtYSmBpOW2ylxw8AyNCFUm3eQdqngjrmMmvzQ_qvgAPRSngO8PSJCITysoaHp3xpBuw,396,Master
PnW1I0FsDfpgrwwKkxHUOLai9FrPR2Wrw4cRwA3wVTjTfumEH2SrUujW-0WC_QF5pHrIRlwKi3IOqw,396,Master
-TeSsYsB0Rw12Ww8TwvrUya5apb4uGAVzcl10dNnkXU1YKJT9rZpWMxq2v4Up9YqkAEfLWyenhQ4vg,396,Master
lChbq5rL62OZfCIv5Ym0fkeUsPI6aiBbEorrT-YOHtYrACA5rcohVlx0kO3RRSSPGLxckBARyPM5sw,396,Master
Zr1ycyqUc9Fl9IyCxkd0wkYY7lQB1rTAl6OXqJPU1OfG-Z1VJlYDNnz3F3uzvaxLAEnhwoCbrMAq-g,396,Master
Z0u65GOWiBxuaI8HqEjFVId4nh3Ek5CisQ67JG01J9jKVI9GgC18iuSrKgRzVE5-TscYhvD4v-j8Sg,395,Master
vcNCfMUssGPUbsboSLHpbjS1t8kUXv7bZJcO5iyvXAeC9xLphU2VGTjL_1iv_2ksQzuFaB41N5QtrA,395,Master
N-PHnTM6hLWJOxxCJiCRJwrIaP5cZamXyFmqCC1n1KY9_zeBIrIS_BO0UEee5MwhSajyPF0FGYVdaA,395,Master
tyj_Kh2e96Xm8wBvdjXa9Ex9UgO32ZFrxIx5cx5dCobN5OHpf4T1gjbt5XpXXFqj5BorTmiw5_KLgQ,395,Master
05BfRCeoZhxJ9ziMtNiCsMv6Z4tYKrmWelY8ZetidHBW4c9BUNR2WUOvw76XnfX9Qx7GYP-S2_Jl8w,395,Master
8vcWo36EW7MQVsbXpBWPq_8faOhA63FxU387iSngVdKRddEmisK2GBGHk1LsS6IhIyTPcxr9tWHgjA,395,Master
DpV4WO-YCiKbN1y5-8W2NQydPMdIbT3VrvbdDvn6FLBqZHIcKqYs7pf7UtviZuj24A9ASjXyplBwOA,395,Master
05Y7ClweqZvx9oDPXpQeLd-6ekvH5m1R6h-6MQcVjrYh0nXHI3gimKv_GAyxc560aNFRgSEiSONegA,395,Master
ezl2ldTzyAJuA13Ig6dCd1Q9Oou3gOpSrXBNtfK7xFcfhu6k4zWKvRDAYBB-kV_bAEtmMmcCV14FDg,395,Master
keBOzH8mlzBl2j5QGQJiMie196iij3fl4CYs40b8Dq0DA1CqmkLRij3-t9rZktrAV42QT1VJ3uxQiA,395,Master
Z7ErFY2Ldmjfc9tUiPqTP7ku9kuOlkJmTIKydaUkNfa0whllA8fzC7Wg_GkhEdSCORS2FH5QtKjNlA,395,Master
9UPc2K7Z8ypaZP1zvFw2jYNFF3-qF38vZWlH0cyH0rmPhRQkUJpUOOT-VFZgNRb-dBbqkd9SFnNZ4w,395,Master
mFLecK5sty2tcIJ1tskw4d0glQQEPpwA5gp37gdVVGFEGZEyGfIXQ4sIlUxAnLs5dG3UVy0qZ3VIvw,394,Master
X1rdg8NPgcdvfFxKINUSRaSqNwG9LTMz-CcU7hXM8swtdGQ1EXM7tzTFGh-sucqLffUZUbE3usC8Aw,394,Master
PU9bHJO_m3zp90wagURlOq83GR474P2WGCG8qyNKpvW_yIK3NbnSExJu_D2oSwn-GiZHC7qLeOztlw,394,Master
0SmPtpXQSo7m0nlFhy6QS6WHXwVuDqzNimZauxGdr5D82lgsbxHXrObj28Fd2IKv7JXO43zmol0bVA,394,Master
Mas9ieRTXBdnGF-iA92tvdmxUgnK6pM_lf7auPjVZ8X5wIuqpuiRkIDK7xzXYuEQw02gp2c0mLo_8Q,394,Master
FG16YdHXKvE2bUgqKrhwJJ3XhPWiFYG72L515VG3elkPFdfN-Gpx4k45wtgyooiMNuLX5fqFfypbmw,394,Master
2IFaXzBjVkES7Q1kBmfKZLEV8rKBoGHFUcTjg49YhAjd6ubQx_jmuu5SSbhQYklxgVl20_80ldG6oQ,394,Master
JmlioL3lws5f7xHlDMmrfRqQmHvr9JimysIqWydaQ8GdItUeH-Z4yyamrFRqyrBsFZwuLYPYmkdljw,394,Master
5cLYmlfCc25Spwae-vExm2EOHVD3S8RDDdMYZkdXKNQKXPwz1tmMetz7GK7eZtPEhV6Fz-W-I7MfPg,394,Master
yAxjNC1vD6Unp5aXfXYGx0KCktouoHuvhZvchtrKl6etaJDUPkeoEm_cPIt9zv-EOkiBkrXGIXEzDA,394,Master
9J5X9nPv7Lh-R6mZ4tIx3XXCWe2TM02YLrqM9mCRFVbox9tV2-omBw_tnrMB5wWa5ihqh1mmTts95w,394,Master
d9LqFEasO6A91pNGxNiE3HJH3bgL_SZFNiKZvb2E7-gGPZmnQoyfBrew8WEvUoODZx6GMDHf5HXY5A,394,Master
rTokkDUWkKnuWrVIv6SmlfeRrNApDeLl70zNS5mttUOZcQGOTCBb16CVkc0TogcN4v3WOdA4T4g3dA,394,Master
lAIWIERgUkR4hL7Ls9lUi6DZRofZu3_vmoccQCk8gqFFGtJ8qBi3bx3hAgkrZppCDsiFJTp5Su-3Kw,393,Master
hYeDB6agFeMq__-lrBVQ5-h6-5Yb9gy4-qeAoAlNS3VumUNeQA77qJST52RHPuzVu8t62CrSeAjC9g,393,Master
Bt6D9v4u2KXJmg0NM11uzGOl2giR7JD1lbl03DuZx9URPyyEiKwbYiMvXmGoKWnA-WRkMwgxDOXKiw,393,Master
7U1uVVrkqR20kSbtWs3dPoUuHOKgSJ_XTuYyv6MSuhlb_wENJ4vg7eNdGUDKBIN4VuFVqdlFL-YojQ,393,Master
yG_UKNoMrmLB6AMwhPle5neB5HaMxScMOx2AUgfirkXHfL1XCFNh5glTyFFUv7fGgbb_L4mdKjV1UA,393,Master
sq7eboxMYGegcgU12gtuLYiVzsyWGdF3l1aIGIm039UngSCByTsqKrt_orbaca2YEpezwxsn8M9vuQ,393,Master
szU8aQpImlFpwB_Dr45__0VvYEBGapQB9p3AMhxjbTjaFu9PUQ3RrrHO9qGmPg27Np5s1Geub0_bBg,392,Master
6MrX_0wcRjxmuWU28GxZULvQVs0olbIKzVyGNafmNLY2kyTFlIHnqx_-j0a9I85CyAYKkFPyCAwYAg,392,Master
vBnPx9nuD262PO9DzGnRGZKcvS8iFSTtPaHZg4PEVE1sMnlBKgYVkXmce9TG3CQsjMsLf2NU6r3DKg,392,Master
onZE0m6qIwmyIuh-wx4i9zB9aiqE5YGOx_9iUrxT2yNIrviY-85s2YptCL2v5UVoqR6isu2FJqHSlg,392,Master
YiwWPhGzLW2ePuOosche7qt8oaHuH0BcDzTuAwhBa_c9xNKSFh6Rv67H7BBv-L9HeOVz5hzRLdnRsg,391,Master
Zsz7f9-QVT3yr6bgX26679HPjY5EoGCzK1p-9WVvssPek0Pym0GQZNGNMWClLVJ5hKYIE681_a9s8w,391,Master
Ah7M1xslY6u2Te1_Oe-BOQPOCCK3JEIk4oAjNvus21shixGT3eHSOGQc4HJLYDF5BO_ecmUz8a6Ksw,391,Master
lMFKNpiF1AgEcX4AYi9I76RyUIu7jrodqRYDrO78wCDSTpD5JzO71KZt_XEbghfQEtR3Etl6347LUQ,391,Master
_xAknEJ-vRwmu8sfXEFejt86AIqo1v9lxFBk_A3wauBHCJlb6DnYBDK4NVyfOKxculHgfT_7eIZs1A,391,Master
98nd8iuVUHN9fRNbqqhmbIEqlvn1Ra6Y6zeJQfXrcGYbkhPsbMcEnCoc_klO-97iw-Yr6rlTyfbasQ,391,Master
isCaDyO3uB3gyaDDcoLXF7gNSXINePkrm-pFy8rB0AYPR5k1dTfKye2qMGIt0lm0fohaTK8WcvhfHA,391,Master
pD7BtKrhNhUSHFV932kOn4sFYrFCeK-umVBqb30YPVuw4-PvB7c2BKuL4kTOqKDgd-8uj2CbkVE4aw,391,Master
XtMwEwsHKsFL1eSRVkjDRDw9ZKUwh_wcrdTWbPBeE2ONO7TFHObIaLwTiKLKgZjV-4wVp3a3yRTs6A,391,Master
Gx8IfnyOuoX19BpCJC1u-9iisF9Go9-b1-lo4FNwW6qymrSQb6o9GjIyR5W8uElC2X6d6SABgW5_8w,390,Master
agoZq7Y242w0LkRbqf1vzgKlLl-tNrwvvottfH28-RWIFsQzUaANoxndsXLmONunzh0SxnmUxN66uA,390,Master
DiTldwb88KB70FyYTycmlgMpVuMP3W1gQ-y3gctvjrYaZzBlLsarpk23XR5wgMkZ5Mdi2ylBPcMogA,390,Master
PMPb9p_zmJTgN9AB2i9cDT-QZYIIrZb6VovrvQ5BYpWDWXt4DdYNEkQefrouGCGs9OuNxF2Z8Fs1Ww,390,Master
CBg9Od3sdFFXISZQ74HocGVpTnKlixFYeHF5OSjc_8MG8YNS9Zxh9Ty92uKYW3bZoQpYipIBSzyXTg,390,Master
MJU__CTrBMnBAbX2FH5qUN1pN_TKkRfYt7InhWl87d_EyQ4NQQMtwpw2tcLM3PiCca2d0zcXswiDIw,390,Master
yYsewT3crpc12Zg3Cx_Cxanu5IaFtiITUc-ZXZCvSQvajoRh-RCHI0BSbAM583vAdbVjyDfvQ1LHNg,390,Master
Vrs35wA671BBa5RrEJnyFUT5oP9FVF2IZMhDxc9x_FJpDmQjbrS-G5IqH9AjHjqlfFX2L7mfyt4meA,390,Master
ZXx4IgqHIR0daCZ_JfcnRzeVhPMpQ47TkRaJYmbrrfIE3bW-vj-ec-D179kVT1iGyEccTaTrk9Y-4w,390,Master
24H8QAh3wgihOgEH3G91sBim3MpV3KAknHJxhF3M7RPExrMuN890HcGZiwjj0lS5eB9jQeh16ES4Dw,390,Master
N0qgShJ1ty3ZyoQKrS43YzVfrC-etap211s0pOtNQ2ESPru4GQ9OWALiGbm34kEIInfx9PA-mrwbvA,389,Master
Fh4Fl9xc_CEBpr8eS9OB31QMevkxnrtWzaNErmizVF3zvtjUXqsb9C4nyyG82j-TJkHojnLPLnC3MA,389,Master
xIruQLOxHfubytbAMv4zjiYxZ20wFlY7OTuZMPfCNU4IuRgDbD3_iav2SqqSeM9MFYgVDRdg8cJOAQ,389,Master
pHjF6MylXRNcBA25sqnYluAuDLyOndWLWmd-idSBkNAkb0RCg6rYdmR1qzdtWtxoMEFG4Qst8Y-8Og,389,Master
iYjCY3nqot6gTYSTcclJklkI2poo5JJyHaqhnAW8I42lNjugG9vxHWYQesRi019PUQpA5fcniaNZ0w,389,Master
9u7gG3-RZFk6-Ojl54hW_5M72tM_3ks1ynaxdY2bNWy6halVV_YHGbHlO-InWhGW61dPVX-jgBVPOQ,389,Master
VtNeZ-qP5uSy4BkAodlaGpQv7zyvUb8o2THKvHVGDhxcGYGyZgxXP4YrRetxz--mms7gjip1IpcbeQ,389,Master
YuQRAJ-jiESIlfCfDJqUWW9kulWlU9NcvAgxJ8XUpAzJGKFRvokX8XwEKRHo7JIyHKfe5nwWlGvzCA,389,Master
jLE1p5Y2N3mHTRQzA16X4p9ucUjdP03cPesrcJtYeLwjRISTPvqhrXXZlsDyp6zj6sdm2Xr8W89q1Q,389,Master
2sCZ53LlmVLt0Ff1qXUkB09oxViUzgQhGwrP_-6pJs5zwYRLM3f7V9Yoma2MPSlhlDp4TPxDnmb5DA,389,Master
N53fovXBDxSy2DBTjdTRuCXCEd_CtpaQnAsjpdeuxo8bDW6UHVVM799X-MOmejD2Y6Cj2CR9TDrclg,389,Master
BsGRX9cCJa7UiHbFkz0fZ84PfGtJzjdkvZYQBe3ngGw_487TNyFoF7ptLtPO2GPKcjl036IeuPru3g,389,Master
rBeQ96k8L5erAtjE7UyNZps6YyKof-436I1VZjdU-dsJA4p7O-6Za39o2tqpQFYG-JudS3Xv0C8gMA,389,Master
3tqIXd5Ju3F_XUALo0TiIza6bDhSmUBfem57LH05YodLf_Z6BnaegvG2Ra5WXGUs7rgICn47WRrE5A,388,Master
5eydiPZ8ILky4tTADSKlOyYYPe_KM7lriL6Uy-8WwljiM81utE6GAkhllF5A8NUzc-8PfxWT5wfxCA,388,Master
3xG6N4uKwKUHNvZxy9lEMeKqDMwdwpZ33Z1pzD6bpSQRhpHdZwDzj1vHuS1TMl8vRKF87FSp6wjgOA,388,Master
hLFDTp-QMN94MwnU0VYu6JpE5EVbbaZVmHDZVXuXKM459apXQTxPZffwMpnPjxlax_wBIxzuSjwZKA,388,Master
ijAvXsczO195bz3f8iyC-Cuxv2jcjj1KV7UJZMqzxB-0R9XLckAYnRa1xacaYMYC1H0abXlYcsVz5Q,388,Master
wcPFmwHJb4xVtI8fU0tC8JhZ8499A3Z4vQxsbiS_rHqAYvA3jnTfsOI7AA_GA_kg8RLMiysUC_QXjA,388,Master
GJkuTIP8qu7qs2k3EmxDroOO8JWbEpqbIrZOQie_aISPmEtVfGsgeo0Wgy1eAXSK8aLXDURuO6yd8g,388,Master
7raCkWrWZzkkEYTWL7PVUgvtoGpgzmbAsgaxOzP0ztsYcbHyY2FJKCeonAwn7lFxBhmqjPjUyqoyMg,388,Master
gsQka6lxshwtusZzR_a2g_LgK6aPmR1DbIr7TFgtSSh6OM8Y9zdLIOwnceYIjaj5i2plCgCPKE5n2g,388,Master
IWbmmvqHRBtMe3E8lNZF7hD3MoWANSFntgpoUefQ2Xo84dYj42ckLWLl786rm77qL6VfOrKGWaCMWg,388,Master
AqJyo-lp4rd5T7kIZHeMiHCzpbSj77G6-yg8mTyK7nRdwC1RS7r5ZJmGA8YJRcWPhc6E5QQKkjh4qQ,387,Master
7fChLM4xxCR9LOOhEoRXVKLTgUO6tweyNKYEWJ9-PM-NQxZwKz9uz-n0YKGXcmWbEUZ65i1LjQOcwQ,387,Master
RtHX1TzJbFrCKKQ7wf-Po5bR9d9k5O8m_1Pjio6yrnssM-jAdFqP78gDoD5ol00YUHB3wmlPtwergA,387,Master
ZhgW9oIN8RrCYx09u607Fg-rs_ksYuMmqL7psC4MpV69RN0QzhGG7IBSHYnwbg7bFt-zOPbf-zdsIw,387,Master
r_n8PYvCUYN-PV52TRZZeIup18w-J7_LV7speJsIEmkZnqRePqOzMAJ-Nji3B2LpgBSs-rf2-hfOEw,387,Master
vvjqelr0vXzxGGBbSGOJfTGXtygtAX3xtsYLddqrrI9FtRIbFBJpFbtpftTpTka_5NA8m1E8b1H_Nw,386,Master
7A-rPQyLGfkuK4kkV_zh4XE8XmHQJwsSR4xXKffELRhvM3dgJkk-YQdsyYT9IG-g08IQXPqKLbWpLA,386,Master
0tHqvNd5jaRjDX0w3BUg1mn07zcmkj7H0gRinuGU5NRfx6LDRblsk3qWrxo2C0LvWFwc7uGqgL94CQ,386,Master
HPVrIW1DMQWmDpNt5PnauZQNNrWsAMA1KcD14e7OOQ7p_DgCVXnOmy5H7NTgpN6-z8tNqPeFllE5iQ,386,Master
2UfA331JLbUJO8amL9pQ9W4RlvSi0sK-RM89O0r0XB0MDjjPCk_sWUDEhq84VETd7eRsAc-RqHIWIw,386,Master
-z0nXLMqWr7yF7cIgZ4XNa-CzF9NdlWpjzQCsaxrM6B9q7o-WvnEqQaS9cWIT_mOa0JPci_d-Eogcg,386,Master
LfJ2-PjfQvn_m4ugIloSCvgye-MxdvjQWjC6ScBHWmu3aT5yHkMhGVvOri7lJeOo_LUCxuHbY4-pIQ,386,Master
IentYwoiaLW7Asekc32XGX1EdSvcdFXkS_Ss6B5cMwfKVMJ4Np-pDFc05DYrJAFzKatC7ZTFo8d8xA,386,Master
odMEFHg8sfKMZLv9N6yFAlvHfe3ZSyLUye29ZY2RnwDNz0pTA6Wwr6n8BtrQ0mFq5ZVlrWFZFzhjCg,386,Master
sFApXrPXPF7D0TzlahnOzMEA9GyBuIjmy2WdvxkSKe8XMRrfXH-kR5eDZlHTma1sRi6UoI68axFqYA,386,Master
43xA90uB-X1QyCGGTNMKFWH3jDIjrUqC77vBVN3ZiEBPX8DF30lEs9TlybSk4cYFBIrxKPAH05bpVg,386,Master
VnoBh2DWVwheGkaZf39feQoTfEmuQBtTeslh4-D2OxXigH0iRN1wPYFDxMLC-esyreF2FxelRS_I-Q,386,Master
f8K09Qp3jlGLA8LH90AbXNNqk0-mefg_QBkBD33gCRzR9XB841NrCbXboFXaT5wDJpsGRg-F0b35nA,386,Master
eVTpyBERukjrboknzY7XuHJbXr2-NhGXLztB9EJbENJsdhHG-KStqqyYQZh6TzzlmvE6LHg2HUeGUQ,385,Master
jjUIIAFzqNzXzjNqwLGXv4PTLzaSq2xJOEHuazYovpN9Ei0ki7G0ZC3DBPR8v0500f3en8zmQmUsew,385,Master
PF_zYLUl8dy96a59zXKJRJUC-UMW8Qc0zm1mZfoJmKNE1G5oZzSjzxGPK1pGQ6JUpB76UG2KYGlZFQ,385,Master
9WPGBUkZhc5I1rn85gY06cqX1KKNg7I5TpLn6Wp03DrZ6dbrMhi6lZOSiOevkdtCzeomoMPWYYJolQ,385,Master
C2E7Q7Uz4vjHWJPStiITWACt3Co3pE3UOh6fSecVqtms6eSmBTF8G2hQBvN7Grrj96wNI4Yh0ntA6w,385,Master
MT32PTsVK5PRkzWtpU3fT0wF1MgcrR51f3qRnDEKDmQILakqWgEA_hI08Lje28zvG-EdPBNx3HLlPA,385,Master
jrlPU2aRU0wg3kM6z5Jenbg7Z5V3TO50Dl_gjynlwoH3ulfLR7Y4gExXcwhEPyRdoARpN7ufhk9bBA,385,Master
EChxlM8BvtbwRpiuyVDfGmQ1nRAQXsJ_Gnl1s1E51fhImhNrPp4MY18uhDhBiRgsGLXnmuSIHfHIug,384,Master
C5LvqIxVs6fCyyVKWMDnkGOvUN8Fkjx4lGEPkRj6Vr66D7X8zvOczWCDQkXpoye5mM29nTX090dffg,384,Master
Z9O-VNTtqE4rHiw4ZuuDQLsniZQdrwOJM7UEBRhVsYRfPVYhlQ5sea13evVyrilVNvzWpGldgDdgtg,384,Master
65FQwRjwebsG989z0zciuC7VYTSqSHiGGGgLAZYAyrYFzW5zeSa1_t9pNPdn0wuwJVlNL44M-9Y0NA,384,Master
azeOxUJzCYdEglBTvNVPtEjgZ3-d2qBf7skMn0qQVNmBLHh3VPKPUT1N_TrJCAJN2elWkPyipwFk9A,384,Master
wrsoDLPFW6I3pXs_wPiMu9PAxk1-XNoUSzjzal8jIXYmzoDJhr2N5d6nPEfgT7iFzQL4DB7L1NcjFw,384,Master
6ngNcSSuu57ovQ1rYx0u2WKixjdlG-kCna-MtPl9G9A9PfuEVcekjqEv3TgL_IvnkJDGURzLsTUQ5A,384,Master
idnmdF2itMmWZS8q0JhxANNgprFbx3A7i1Ve0hc_T_GLRhhXeki9ccOsZyWY56Iq0NYBO_aB6c0cGQ,384,Master
zmYAaoJ__P5cAQOm9rocNfKl9BevzR5ckjAxBUcdD5cYbsCRhr6VfWI_50etg1K9MP3B6EpcUQGENA,384,Master
kfs-5Z0UVAmxcvBBNipDLpzXaVaJMuB6wczJ0jZ9u7HYxPRh3kV6Y9uTAazLPf5PizV2SfT6oXh3Yw,383,Master
Keuo6xfprHNtXyeoXu_6JEMrtgxQWn0oIK9brgTolrHpFTxpF4sBSeZ-Z9yWAuZpf6OUhDhKCg0SXA,383,Master
0MzMKqSsF-uaI4isjiZFrWBKPZVOTc0JR9k3dlH9_qKLWZ1UU9DDCU1gNKpsxM3647dxxHW7-Umk-w,383,Master
P_vjmzU4PtkYkEM8Gh3x3GNLn_aqbZ1lFu6dypW3dTrpJNXaE4IyIW6_zSVSIQNA6rzcNMfPwoZTQg,383,Master
rulMgJHk1oauNu8_wyhYgk3kIOOfJeY0dJ5PbKQyKvl2n20E5EinkGg2RSUqlj4Uye4gJZL5HK3SuA,383,Master
KAN4zZDe53agVJ5x35KRzkuZ_nFMkC6sTo63eCaTOfW4yYb17W5iShQ9JOtFeC_g3r4HskfWygX01g,383,Master
VqPevxEM0_bPAtpzwBfLd_0dcuxatFD9j1YMitnI25U3qq3xQZdcpXTSfIQuixx3kfY0vAp9dErl1w,383,Master
-Il_qPyi5ZrOXXqEPZN7zqNSHH5BGmnDSAtz7aOFF48_zfwhxbXlVFy_N_2qhWFBvT2jTjxler-bmQ,383,Master
4i1zsXsKgZ2eAC8fC6tt78MkhTiWIBXDyAg0tBp9_96dNxcLsf4-P29q82K2_2ZwdUF7xeHtMRkt0w,383,Master
n5sLqaKuJr3cAIrRgmct4CGSr2b_lynZIG0UED3a9GnnZK8oUZWVVFAmizY-db-kjGvxeb0MVSfJxw,382,Master
i9UxgHEXRt1MtZoT1zGPozpP9cb3fKZ-f94Pj_ec81Q1kpd6ZpY5LSqipv8UgA5sSB3dSwHZZA9i3g,382,Master
i5V4UwTu2m-e5xHMJWijmcI9uc1bW4RwF2uhOui5TNFfTIruM_CVMFL1dJwVIsttWVNyYI-BUwwQ3w,382,Master
itqkW_h8eXh_rWs7HVnVazCEwnxZq2Wu2e3ARJLxJwESWPUi_PcNoJtd8fRApHbV9x13oESmu7Rd8g,382,Master
5FctYDBQTOdYerZqxbewSu6K8ONTcq_-1CSxrltbP8ME4gocPpSvICX-ybnk6X5jUO0l4sRCRwA8-w,382,Master
SlgMqP4oA0x-D0P4726bQa14nNocr-5z9BXbvfAzVDLje6wZqTiXQzO3HkdW8bCX_QFwBwfOwD43Og,382,Master
ARRd_Ah57q79tDVGub2gwWF0qySNhLIuj-irSnofODfp5SYVfiTQPKhVBeFxLZ-7De8mOvHV7Gy0bw,382,Master
ixSkMX71lj-gjGJtpyVUAPbhEq86SfOANL8CxjwYi-QK3dcQbAehh77y00snyEcCqyAYXIwbIF3Yyg,382,Master
TlvkAy4kehn7DyNcrDRpu-zD9Tl-qSgUifSmzZSK1ocIn9bl4Gj0_xiVX7eswr582zuGAvmGMyuomQ,381,Master
E0A8828elpXvYD5aNM1bE-MmgEWuW4BhE3zpLFVN1oJMZW68wiDsZreT4LZNZ6B1tNmq03srEF13Cg,381,Master
pPsrKgbmLnQ4nJfoZAdKyCAtB9B-_P5aO1m0zTSeXUwz_I06kaneQWKyVfwV52q_4cPeWoU7WlJE4Q,381,Master
GVjqP5WPy0s4ueZgdGrqRHwh_WsiE7iV7rF5HAvtyhepUe7nQLrBDr2jSazL9Xam8jTae58dD-yExw,380,Master
cYBlVHgsdmLW4n2gt1v6kujYU9exrNj3002CyQEhEMWmz6FRFtQzHun5uYR92WOXjZiKrLkdYZ3tnA,380,Master
JP_cyqpsSv_XW-NtCOiGc7LY5WznNdfOEUN4uc6vHLnwDJY3ozsYY9kFI5PCicFMTc2fhy_euhxOiQ,380,Master
GojUeE9A37Bi_phYgg2Uf15JfN8XSiLgsxEOZNIImr7sSwQaC-3McmtI8Dcc1SQX-bjrEkSCvwIruQ,380,Master
CCzHnfkX3I5gruynrk5dJ3D4je-xRiXqgvcfn6WOHquJ3vMxAseNTlejgbFavoFu0OY2qiRp97DjHg,380,Master
erkEB-4ZCrvJ-jOxgQQ9pcEDNgIKQ7Hh7YT1csYiLW6-VEaYGuAF4VhkeT3zW-PDwgWD4MEUGNaOsw,380,Master
TadS8iZzgvSwTJCB-7pFfmHm3HP06G-zZTMLHebco1FfP_Oz70jbpNOOAcMc36wcqpyXZ_Wci3VvoQ,380,Master
izC1XaCOtIz2zEztx98Yu0PwF9NHaHIJ1SXP9AmfndcK7ZtMqWuA_9aQbS0opGY6A_tSBvkt5CPg6w,379,Master
Xobnj_eUDMXTXVkem99EEG0SmkgEjl9hP8fJjhLONo0qJBaRtE_6hio4uu-mJ_wRqLrHHUXT8lbA3w,379,Master
5EKSNrsA6K3XtFEj46bHtvVWCvjt6a7lIOz0LRThA0q_-y9yt0PyOYbzpqPDouExwxaJSp2LMz76Ew,379,Master
ljai0I1YvQ_NHGWS5XHcBh0xBOgEELxZUMxEQMUPdFPG-LsE4w_TLnArs-QaNd_ErAOUwzJ7xTrmZA,379,Master
S7tunJWxJtI54bMDsNiqeVjJhGmPPzt-jDK-ktjomPTgSE1x1jX9E95I1mgN71OWUK_8KnoziAgp5A,379,Master
6Eadqe5UfXlMJjXrKvPqT0qj1IUCAm4k6DK89MpMXk1Qmt7Fn__7D-QTnKMq_6kCs3s50tHVC15tBw,379,Master
nNQB8A0XthwE4A7BBRX1-ZRg92Pg_QwN7-KPksL63t0kM-3AFuzac7As5dp0AvhFjj5_5Sdq2xsL3w,379,Master
P7goQcG3WF8W-7px7UA_OA7jDsaV-eYY_DNK4M-1f6n27RWBPthSgUBsvAEoki0ZZLsz440-AhwSwA,379,Master
qWR3lq6Rol_QFsGQRDEBcwuowid43koLVuj1L3Z4LKJriCMiUDXnirCj9pL02B0T3AVyXghpil3sew,379,Master
CzXeYZmaTowQwXC3aKNy_rqVVXvLKa4xbMkXV7X_HdGY8T_XM4ug_T9xtNEAb9Y2dmmb02-YrMGOCw,379,Master
LTw_zB1hjqYD3cXB6PFGoumpt4Z4jcYoHo9T_x_NnM9KL7oS7yzGAKcSZTO96dc0EAZIFw92gpQndQ,379,Master
Lhr8N7Qw1RrkJBVrO4anTay0BzS90STa43t0qVBBng4qNA_-Pn5CZJHl5lDdLhPqP-c01O5mHxiqsg,379,Master
MKAwDp8XS2YzhrhlK9aT6bQJEDDtR1rQasjTVVqzKe6tXLVRnDmfIem7fGOjLuYZrhjvvHIoOdWfwA,378,Master
Xcz_hTDJH-El8qUMoAuC5nMxwlXcU98P_K4eHGUDEfaDLN4dKx_YNW_pIKVh1_9vo1Ut5mbTEd7mmw,378,Master
QKsChMOqZmy3H8LKDmoIKCv3LuefNi3NWSyMWiitwAAX_PcUHNpEDseZrEki1kv9piDxGeWRP61CnA,378,Master
Uo6HS151sAotN2jRlzrUBwhUMO199pqvcVtLygSpTPPljUzhfSYxHe9JIa0WFcNgI4TSHMMAD13kjw,378,Master
I1ebnR-rqjJcCWoV5U3H2bQfhUQRmfbpNKBynQ4hcauoiYkkt6bVIau9L8eiSDzqz9tSnD2MjglElg,378,Master
6WGikv3P6tnj7q8iBx-ZAfJS4u0MDRo_FpoZKNUY2VyIxMs5c7WrKtm1UT_L51H3RPH6QscFJ3YkNQ,378,Master
2zuRn6oaGk2Z1CDHaJq4cp6jDLZTcCxOYRu2hM3hpE9q7rHK27J_ANwRkGs8_fqmTDzOIBmAKg_vLg,378,Master
QCaHNh_CeUmzuF_S7YnYZaV9q3902sANfgI0i36ZS1B_84qrauh5mj45Xgzcz_mzuz2EWQNkEon9ww,378,Master
_6Qy5fXffwpTsUh_ss72o7PJh-NYpaWvK1UdeMbaVFLcfnK9aHcBsifxvom2MF4mCN5kq0U3XeOFPw,377,Master
nkdH6hgqBQhl1cgWzfK7LQLq3Isid-sUZPyfdzb_hX5MUwTqkwOHpJx-DPPJjGDQJQKEB7xAC6OTMg,377,Master
t004lQn5a89BHtfFNKtpfRxQf1ISsqV0xD-QzVsZaabDnC5vZZJi7y_WTBy3k4o7H-GZVKI5o2z0BQ,377,Master
